Diagnostics/NewCompletedTrajs,Diagnostics/StepsInTrajWindow,Diagnostics/Iteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumCompletedTrajs,Diagnostics/CumUpdates,Diagnostics/StepsPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,Length/Average,Length/Std,Length/Median,Length/Min,Length/Max,EpExtrinsicReward/Average,EpExtrinsicReward/Std,EpExtrinsicReward/Median,EpExtrinsicReward/Min,EpExtrinsicReward/Max,EpNonzeroExtrinsicRewards/Average,EpNonzeroExtrinsicRewards/Std,EpNonzeroExtrinsicRewards/Median,EpNonzeroExtrinsicRewards/Min,EpNonzeroExtrinsicRewards/Max,EpDiscountedExtrinsicReward/Average,EpDiscountedExtrinsicReward/Std,EpDiscountedExtrinsicReward/Median,EpDiscountedExtrinsicReward/Min,EpDiscountedExtrinsicReward/Max,EpAveExtrinsicReward/Average,EpAveExtrinsicReward/Std,EpAveExtrinsicReward/Median,EpAveExtrinsicReward/Min,EpAveExtrinsicReward/Max,visit_freq_a/Average,visit_freq_a/Std,visit_freq_a/Median,visit_freq_a/Min,visit_freq_a/Max,visit_freq_b/Average,visit_freq_b/Std,visit_freq_b/Median,visit_freq_b/Min,visit_freq_b/Max,visit_freq_c/Average,visit_freq_c/Std,visit_freq_c/Median,visit_freq_c/Min,visit_freq_c/Max,visit_freq_d/Average,visit_freq_d/Std,visit_freq_d/Median,visit_freq_d/Min,visit_freq_d/Max,visit_freq_e/Average,visit_freq_e/Std,visit_freq_e/Median,visit_freq_e/Min,visit_freq_e/Max,visit_freq_f/Average,visit_freq_f/Std,visit_freq_f/Median,visit_freq_f/Min,visit_freq_f/Max,visit_freq_g/Average,visit_freq_g/Std,visit_freq_g/Median,visit_freq_g/Min,visit_freq_g/Max,visit_freq_h/Average,visit_freq_h/Std,visit_freq_h/Median,visit_freq_h/Min,visit_freq_h/Max,visit_freq_i/Average,visit_freq_i/Std,visit_freq_i/Median,visit_freq_i/Min,visit_freq_i/Max,first_visit_a/Average,first_visit_a/Std,first_visit_a/Median,first_visit_a/Min,first_visit_a/Max,first_visit_b/Average,first_visit_b/Std,first_visit_b/Median,first_visit_b/Min,first_visit_b/Max,first_visit_c/Average,first_visit_c/Std,first_visit_c/Median,first_visit_c/Min,first_visit_c/Max,first_visit_d/Average,first_visit_d/Std,first_visit_d/Median,first_visit_d/Min,first_visit_d/Max,first_visit_e/Average,first_visit_e/Std,first_visit_e/Median,first_visit_e/Min,first_visit_e/Max,first_visit_f/Average,first_visit_f/Std,first_visit_f/Median,first_visit_f/Min,first_visit_f/Max,first_visit_g/Average,first_visit_g/Std,first_visit_g/Median,first_visit_g/Min,first_visit_g/Max,first_visit_h/Average,first_visit_h/Std,first_visit_h/Median,first_visit_h/Min,first_visit_h/Max,first_visit_i/Average,first_visit_i/Std,first_visit_i/Median,first_visit_i/Min,first_visit_i/Max,return_/Average,return_/Std,return_/Median,return_/Min,return_/Max,intrinsic_rewards/Average,intrinsic_rewards/Std,intrinsic_rewards/Median,intrinsic_rewards/Min,intrinsic_rewards/Max,valpred/Average,valpred/Std,valpred/Median,valpred/Min,valpred/Max,advantage/Average,advantage/Std,advantage/Median,advantage/Min,advantage/Max,loss/Average,loss/Std,loss/Median,loss/Min,loss/Max,pi_loss/Average,pi_loss/Std,pi_loss/Median,pi_loss/Min,pi_loss/Max,value_loss/Average,value_loss/Std,value_loss/Median,value_loss/Min,value_loss/Max,entropy_loss/Average,entropy_loss/Std,entropy_loss/Median,entropy_loss/Min,entropy_loss/Max,inv_loss/Average,inv_loss/Std,inv_loss/Median,inv_loss/Min,inv_loss/Max,forward_loss/Average,forward_loss/Std,forward_loss/Median,forward_loss/Min,forward_loss/Max,reward_total_std/Average,reward_total_std/Std,reward_total_std/Median,reward_total_std/Min,reward_total_std/Max,curiosity_loss/Average,curiosity_loss/Std,curiosity_loss/Median,curiosity_loss/Min,curiosity_loss/Max,gradNorm/Average,gradNorm/Std,gradNorm/Median,gradNorm/Min,gradNorm/Max,entropy/Average,entropy/Std,entropy/Median,entropy/Min,entropy/Max,perplexity/Average,perplexity/Std,perplexity/Median,perplexity/Min,perplexity/Max,rand_dummy_logging/Average,rand_dummy_logging/Std,rand_dummy_logging/Median,rand_dummy_logging/Min,rand_dummy_logging/Max,art_num_classes/Average,art_num_classes/Std,art_num_classes/Median,art_num_classes/Min,art_num_classes/Max,kohonen_dw/Average,kohonen_dw/Std,kohonen_dw/Median,kohonen_dw/Min,kohonen_dw/Max
143,6239,124,20.632288694381714,10000,143,375,484.6772041689711,18.175395156336418,3.0,3.0,62.39,146.99359,5.0,1.0,500.0,-0.03,0.17058723,0.0,-1.0,0.0,0.03,0.17058723,0.0,0.0,1.0,-0.010174555,0.06674549,0.0,-0.5870368,0.0,-0.0003176036,0.002068674,0.0,-0.018518519,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5744563,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,487.99,69.0389,500.0,46.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.18247275,0.20200527,0.12549905,-0.10158684,0.7313787,0.0034256051,0.0028125187,0.0024187074,0.000276944,0.019735424,0.18153583,0.2036661,0.1360676,-0.11279707,0.74153715,0.00093692436,0.031155854,0.004233179,-0.1548749,0.09200971,0.0002065784,0.044717718,-0.007780307,-0.14344743,0.3041818,-0.0012539724,0.038252503,-0.0063726604,-0.16660589,0.21362057,0.002841369,0.009616535,0.00025537287,1.6680326e-05,0.09189653,-0.0013808177,0.00014003852,-0.0013531346,-0.0016089343,-0.0010866886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.12795775,0.19319916,0.058822673,0.0026276698,1.6699398,1.3808177,0.14003852,1.3531345,1.0866885,1.6089342,4.019015,0.575298,3.8698254,2.9644601,4.9974813,nan,nan,nan,nan,nan,1.472,0.4992154,1.0,1.0,2.0,nan,nan,nan,nan,nan
24,16442,249,42.37628483772278,20000,167,750,459.89706464616097,17.246139924231034,3.0,3.0,164.42,221.40132,9.5,1.0,500.0,-0.03,0.17058721,0.0,-1.0,0.0,0.03,0.17058721,0.0,0.0,1.0,-0.010174555,0.06674549,0.0,-0.5870368,0.0,-0.00031760364,0.002068674,0.0,-0.018518519,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5744563,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,487.99,69.0389,500.0,46.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.085435,0.028086113,0.0842561,0.0091222795,0.15139437,0.0012269132,0.0002055904,0.0011839782,0.0007768683,0.0016753289,0.08573903,0.030617155,0.08463064,-0.00058483996,0.1561188,-0.00030401492,0.008296234,0.0016212784,-0.040262975,0.021937959,-0.0009067881,0.008499837,-0.0029198127,-0.023055168,0.04095088,0.00029403702,0.008306353,-0.0016204163,-0.02193796,0.040262975,0.00013044417,0.00023795538,3.3587883e-05,2.4478127e-06,0.00204767,-0.0013312694,1.3482889e-05,-0.0013306274,-0.001365784,-0.0013047626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.038485,0.042449918,0.025158776,0.0022268868,0.34768885,1.3312693,0.013482893,1.3306273,1.3047625,1.3657839,3.7864811,0.0512509,3.7835078,3.686818,3.9208226,nan,nan,nan,nan,nan,2.0,0.0,2.0,2.0,2.0,nan,nan,nan,nan,nan
25,26914,374,63.875927209854126,30000,192,1125,465.12401587490496,17.442150595308934,3.0,3.0,269.14,235.56065,347.5,1.0,500.0,-0.05,0.21794495,0.0,-1.0,0.0,0.05,0.21794495,0.0,0.0,1.0,-0.017571997,0.09205189,0.0,-0.6426116,0.0,-0.0005827443,0.0030270717,0.0,-0.022222223,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.7490661,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,480.48,86.57822,500.0,39.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.051254876,0.033714466,0.05840177,-0.09585798,0.10236237,0.000878332,0.00017128878,0.0008543,0.00065397314,0.0023629242,0.051734906,0.034328856,0.05984967,-0.13177386,0.10413285,-0.00048002874,0.011575517,0.001328873,-0.10025754,0.035915848,-0.00012477672,0.015545237,-0.0025277457,-0.03664688,0.14613035,0.00062938506,0.012451466,-0.00132906,-0.035998993,0.109871276,0.0005182096,0.00347206,2.9531653e-05,1.1829185e-06,0.037621215,-0.0012723713,7.453519e-05,-0.0012891944,-0.0013655499,-0.001137601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.039360795,0.06989137,0.021757247,0.0015373094,0.84994143,1.2723712,0.07453519,1.2891943,1.1376009,1.3655498,3.5795398,0.26248094,3.6298645,3.1192796,3.9188144,nan,nan,nan,nan,nan,2.616,0.48635793,3.0,2.0,3.0,nan,nan,nan,nan,nan
21,36929,499,85.37475085258484,40000,213,1500,465.1417289699592,17.44281483637347,3.0,3.0,369.29,204.48497,500.0,1.0,500.0,-0.05,0.21794495,0.0,-1.0,0.0,0.05,0.21794495,0.0,0.0,1.0,-0.017571997,0.0920519,0.0,-0.6426116,0.0,-0.0005827443,0.0030270717,0.0,-0.022222223,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.7490661,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,480.48,86.578224,500.0,39.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.14279097,0.08579976,0.11499739,0.0464946,0.4067263,0.0020105767,0.0014275791,0.0015490911,0.00077362836,0.008252502,0.1424091,0.08662943,0.11465851,0.04289842,0.40765673,0.00038184616,0.012412272,0.0014423486,-0.060304053,0.050076745,-0.0012882792,0.012861591,-0.0026120895,-0.049642485,0.06699632,-0.00038808616,0.012428758,-0.0014307445,-0.050964165,0.060304053,0.0003243581,0.00093491713,4.3772397e-05,7.275253e-07,0.00789331,-0.0012245511,2.4518964e-05,-0.0012257522,-0.001291562,-0.0011589335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.052605387,0.07139581,0.029239556,0.0011911943,0.56972235,1.2245511,0.024518963,1.2257521,1.1589334,1.291562,3.4039626,0.08341308,3.4072769,3.1901164,3.6395695,nan,nan,nan,nan,nan,3.0,0.0,3.0,3.0,3.0,nan,nan,nan,nan,nan
23,43593,624,106.79750967025757,50000,236,1875,466.7932867614832,17.504748253555622,3.0,3.0,435.93,151.58893,500.0,1.0,500.0,-0.04,0.1959592,0.0,-1.0,0.0,0.04,0.1959592,0.0,0.0,1.0,-0.014455386,0.08718968,0.0,-0.6426116,0.0,-0.0004972742,0.0029197535,0.0,-0.022222223,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.64272845,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,484.76,76.2412,500.0,39.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.10404603,0.07751597,0.08173253,0.04610318,0.446194,0.0015491865,0.0014197557,0.001051818,0.00074824085,0.008905217,0.103176184,0.07755383,0.08165157,0.041498967,0.45417523,0.0008698362,0.011705871,0.0015568462,-0.063257515,0.062230032,-0.0017432962,0.012682725,-0.0028577526,-0.060780115,0.07170538,-0.0007615897,0.012186935,-0.0016278954,-0.06278071,0.06325753,0.00028245617,0.0010427311,1.3596735e-05,2.2378667e-06,0.009718297,-0.0012641627,1.335856e-05,-0.0012643416,-0.0012948253,-0.001230541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.040758345,0.07085517,0.018060947,0.0015691004,0.5710727,1.2641625,0.013358558,1.2643416,1.230541,1.2948253,3.5406718,0.04730391,3.5407646,3.4230855,3.6503708,nan,nan,nan,nan,nan,3.632,0.48226136,4.0,3.0,4.0,nan,nan,nan,nan,nan
21,44824,749,128.37655687332153,60000,257,2250,463.4124901761242,17.377968381604656,3.0,3.0,448.24,140.81918,500.0,1.0,500.0,-0.03,0.17058721,0.0,-1.0,0.0,0.03,0.17058721,0.0,0.0,1.0,-0.01315099,0.08579759,0.0,-0.6426116,0.0,-0.0004437121,0.0028485726,0.0,-0.022222223,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.7022107,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,487.95,69.80764,500.0,39.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.111962095,0.06879528,0.10716043,-0.11247046,0.2847233,0.0015611443,0.00047755748,0.0014009371,0.0010607194,0.003132274,0.11253144,0.07001231,0.10895523,-0.14273122,0.28569207,-0.0005693412,0.0146171795,0.0017611298,-0.12355336,0.030260772,-0.00023956395,0.017901862,-0.0030828048,-0.02973359,0.17228171,0.00061345444,0.014993815,-0.0017600196,-0.030260777,0.13005617,0.000477309,0.0034859122,3.1461306e-05,8.717946e-07,0.04357478,-0.0013303274,3.156775e-05,-0.0013438512,-0.0013680569,-0.0012631591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05201845,0.090117104,0.025358697,0.0017024763,1.072932,1.3303273,0.031567745,1.3438511,1.263159,1.3680568,3.7842045,0.11792046,3.8337803,3.5365822,3.927712,nan,nan,nan,nan,nan,4.0,0.0,4.0,4.0,4.0,nan,nan,nan,nan,nan
20,45958,874,149.89655089378357,70000,277,2625,464.6841439868253,17.42565539950595,3.0,3.0,459.58,127.816055,500.0,1.0,500.0,-0.02,0.14,0.0,-1.0,0.0,0.02,0.14,0.0,0.0,1.0,-0.012179663,0.085390195,0.0,-0.6426116,0.0,-0.00040079365,0.0028224834,0.0,-0.022222223,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6403124,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,490.85,63.981144,500.0,39.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.06594073,0.022089463,0.06638542,-0.043570943,0.10191856,0.00092573656,7.714362e-05,0.0009145178,0.0007159333,0.0010788648,0.065801494,0.02333937,0.06880435,-0.04822568,0.10508478,0.00013922837,0.005615072,0.0011787765,-0.022227552,0.029729301,-0.0013758879,0.005662663,-0.0024421222,-0.030296586,0.022238895,-0.0001368981,0.005629544,-0.0011800565,-0.030272424,0.02222755,8.2938575e-05,0.00019768787,1.8655246e-05,9.649012e-07,0.0019081545,-0.0013219282,2.8287388e-05,-0.0013312458,-0.0013652733,-0.0012574128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.026341913,0.027735049,0.017856676,0.0007483453,0.23933557,1.321928,0.028287385,1.3312457,1.2574128,1.3652732,3.752195,0.10484511,3.7857614,3.5163264,3.916994,nan,nan,nan,nan,nan,4.0,0.0,4.0,4.0,4.0,nan,nan,nan,nan,nan
20,46786,999,171.63031601905823,80000,297,3000,460.11355797577784,17.25425842409167,3.0,3.0,467.86,111.96536,500.0,1.0,500.0,-0.01,0.099498756,0.0,-1.0,0.0,0.01,0.099498756,0.0,0.0,1.0,-0.0057535474,0.05724708,0.0,-0.57535475,0.0,-0.00017857144,0.0017767635,0.0,-0.017857144,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.50635946,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,495.46,45.072033,500.0,47.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.054250974,0.010057502,0.05427279,0.020073975,0.07545106,0.00074776413,3.6653764e-05,0.00074395764,0.00068160344,0.00081667525,0.054226395,0.01093846,0.05306203,0.014399633,0.07558196,2.4584175e-05,0.003803902,0.0010368705,-0.013000587,0.0065137967,-0.001343563,0.0038518663,-0.002389534,-0.007842734,0.011927212,-2.5028852e-05,0.0038025505,-0.0010371718,-0.0065137967,0.01300059,3.7234422e-05,6.3333064e-05,9.521358e-06,9.148278e-07,0.00029489148,-0.0013557685,1.29864975e-05,-0.0013594535,-0.0013770524,-0.0013241644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.019471731,0.017605396,0.014278661,0.001637735,0.111858904,1.3557684,0.012986497,1.3594534,1.3241644,1.3770523,3.8800976,0.050116897,3.8940697,3.759053,3.963203,nan,nan,nan,nan,nan,4.0,0.0,4.0,4.0,4.0,nan,nan,nan,nan,nan
23,45911,1124,193.57708287239075,90000,320,3375,455.64798071755814,17.08679927690843,3.0,3.0,459.11,125.86525,500.0,1.0,500.0,-0.03,0.17058721,0.0,-1.0,0.0,0.03,0.17058721,0.0,0.0,1.0,-0.011061465,0.07014883,0.0,-0.57535475,0.0,-0.00033545945,0.0021125942,0.0,-0.017857144,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.7022107,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,487.8,69.7785,500.0,47.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.02809229,0.047501698,0.04518858,-0.21263726,0.06651186,0.0006713251,0.00016730196,0.00064880523,0.00049941655,0.0021731532,0.0282615,0.046884328,0.044582397,-0.20044403,0.067384884,-0.00016920516,0.012644638,0.0015542635,-0.08580749,0.03761721,-0.00067989284,0.014950077,-0.0029220637,-0.038198534,0.11863372,0.00020953163,0.012912691,-0.0015567107,-0.037617203,0.092764854,0.00040233333,0.0024254792,1.8664485e-05,1.4901844e-06,0.027247548,-0.0012917579,0.00010404499,-0.0013609958,-0.0013858252,-0.0010848282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.042871095,0.07298466,0.019335175,0.0014947177,0.7019101,1.2917578,0.10404499,1.3609958,1.0848281,1.3858252,3.6584115,0.3631994,3.9000752,2.9589543,3.9982276,nan,nan,nan,nan,nan,4.4,0.48989797,4.0,4.0,5.0,nan,nan,nan,nan,nan
20,47546,1249,215.093487739563,100000,340,3750,464.76165798762617,17.42856217453598,3.0,3.0,475.46,96.18404,500.0,1.0,500.0,-0.03,0.17058721,0.0,-1.0,0.0,0.03,0.17058721,0.0,0.0,1.0,-0.011061465,0.07014883,0.0,-0.57535475,0.0,-0.00033545945,0.0021125942,0.0,-0.017857144,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.70221066,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,487.8,69.77851,500.0,47.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.14330953,0.09284509,0.12369944,0.031069636,0.34703955,0.0019917502,0.00155523,0.0016829185,0.0005934816,0.008909245,0.14276057,0.09314806,0.1305079,0.03011484,0.34661707,0.0005489633,0.011943751,0.001231068,-0.049294442,0.05417805,-0.0014201875,0.012247624,-0.0022864956,-0.053590365,0.054747652,-0.00056613074,0.011956938,-0.0012341919,-0.055086423,0.04929444,0.00028300108,0.0008253026,1.978129e-05,1.8121087e-06,0.0065328465,-0.0011370577,9.093239e-05,-0.0011627903,-0.0012516782,-0.0009855179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.048016775,0.07232894,0.025649581,0.001983887,0.4996845,1.1370577,0.09093239,1.1627903,0.98551786,1.2516781,3.130552,0.27970532,3.1988587,2.6792073,3.496207,nan,nan,nan,nan,nan,5.0,0.0,5.0,5.0,5.0,nan,nan,nan,nan,nan
