Diagnostics/NewCompletedTrajs,Diagnostics/StepsInTrajWindow,Diagnostics/Iteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumCompletedTrajs,Diagnostics/CumUpdates,Diagnostics/StepsPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,Length/Average,Length/Std,Length/Median,Length/Min,Length/Max,EpExtrinsicReward/Average,EpExtrinsicReward/Std,EpExtrinsicReward/Median,EpExtrinsicReward/Min,EpExtrinsicReward/Max,EpNonzeroExtrinsicRewards/Average,EpNonzeroExtrinsicRewards/Std,EpNonzeroExtrinsicRewards/Median,EpNonzeroExtrinsicRewards/Min,EpNonzeroExtrinsicRewards/Max,EpDiscountedExtrinsicReward/Average,EpDiscountedExtrinsicReward/Std,EpDiscountedExtrinsicReward/Median,EpDiscountedExtrinsicReward/Min,EpDiscountedExtrinsicReward/Max,EpAveExtrinsicReward/Average,EpAveExtrinsicReward/Std,EpAveExtrinsicReward/Median,EpAveExtrinsicReward/Min,EpAveExtrinsicReward/Max,visit_freq_a/Average,visit_freq_a/Std,visit_freq_a/Median,visit_freq_a/Min,visit_freq_a/Max,visit_freq_b/Average,visit_freq_b/Std,visit_freq_b/Median,visit_freq_b/Min,visit_freq_b/Max,visit_freq_c/Average,visit_freq_c/Std,visit_freq_c/Median,visit_freq_c/Min,visit_freq_c/Max,visit_freq_d/Average,visit_freq_d/Std,visit_freq_d/Median,visit_freq_d/Min,visit_freq_d/Max,visit_freq_e/Average,visit_freq_e/Std,visit_freq_e/Median,visit_freq_e/Min,visit_freq_e/Max,visit_freq_f/Average,visit_freq_f/Std,visit_freq_f/Median,visit_freq_f/Min,visit_freq_f/Max,visit_freq_g/Average,visit_freq_g/Std,visit_freq_g/Median,visit_freq_g/Min,visit_freq_g/Max,visit_freq_h/Average,visit_freq_h/Std,visit_freq_h/Median,visit_freq_h/Min,visit_freq_h/Max,visit_freq_i/Average,visit_freq_i/Std,visit_freq_i/Median,visit_freq_i/Min,visit_freq_i/Max,first_visit_a/Average,first_visit_a/Std,first_visit_a/Median,first_visit_a/Min,first_visit_a/Max,first_visit_b/Average,first_visit_b/Std,first_visit_b/Median,first_visit_b/Min,first_visit_b/Max,first_visit_c/Average,first_visit_c/Std,first_visit_c/Median,first_visit_c/Min,first_visit_c/Max,first_visit_d/Average,first_visit_d/Std,first_visit_d/Median,first_visit_d/Min,first_visit_d/Max,first_visit_e/Average,first_visit_e/Std,first_visit_e/Median,first_visit_e/Min,first_visit_e/Max,first_visit_f/Average,first_visit_f/Std,first_visit_f/Median,first_visit_f/Min,first_visit_f/Max,first_visit_g/Average,first_visit_g/Std,first_visit_g/Median,first_visit_g/Min,first_visit_g/Max,first_visit_h/Average,first_visit_h/Std,first_visit_h/Median,first_visit_h/Min,first_visit_h/Max,first_visit_i/Average,first_visit_i/Std,first_visit_i/Median,first_visit_i/Min,first_visit_i/Max,return_/Average,return_/Std,return_/Median,return_/Min,return_/Max,intrinsic_rewards/Average,intrinsic_rewards/Std,intrinsic_rewards/Median,intrinsic_rewards/Min,intrinsic_rewards/Max,valpred/Average,valpred/Std,valpred/Median,valpred/Min,valpred/Max,advantage/Average,advantage/Std,advantage/Median,advantage/Min,advantage/Max,loss/Average,loss/Std,loss/Median,loss/Min,loss/Max,pi_loss/Average,pi_loss/Std,pi_loss/Median,pi_loss/Min,pi_loss/Max,value_loss/Average,value_loss/Std,value_loss/Median,value_loss/Min,value_loss/Max,entropy_loss/Average,entropy_loss/Std,entropy_loss/Median,entropy_loss/Min,entropy_loss/Max,inv_loss/Average,inv_loss/Std,inv_loss/Median,inv_loss/Min,inv_loss/Max,forward_loss/Average,forward_loss/Std,forward_loss/Median,forward_loss/Min,forward_loss/Max,reward_total_std/Average,reward_total_std/Std,reward_total_std/Median,reward_total_std/Min,reward_total_std/Max,curiosity_loss/Average,curiosity_loss/Std,curiosity_loss/Median,curiosity_loss/Min,curiosity_loss/Max,gradNorm/Average,gradNorm/Std,gradNorm/Median,gradNorm/Min,gradNorm/Max,entropy/Average,entropy/Std,entropy/Median,entropy/Min,entropy/Max,perplexity/Average,perplexity/Std,perplexity/Median,perplexity/Min,perplexity/Max,rand_dummy_logging/Average,rand_dummy_logging/Std,rand_dummy_logging/Median,rand_dummy_logging/Min,rand_dummy_logging/Max,art_num_classes/Average,art_num_classes/Std,art_num_classes/Median,art_num_classes/Min,art_num_classes/Max,kohonen_dw/Average,kohonen_dw/Std,kohonen_dw/Median,kohonen_dw/Min,kohonen_dw/Max
125,7213,124,19.171748399734497,10000,125,375,521.6008363712141,19.56003136392053,3.0,3.0,72.13,153.05505,5.0,1.0,500.0,-0.04,0.2416609,0.0,-1.0,1.0,0.06,0.23748685,0.0,0.0,1.0,-0.0124964425,0.06561409,0.0,-0.42988902,0.02087132,-0.00036624458,0.001870108,0.0,-0.011764706,0.002,0.57,5.6714287,0.0,0.0,57.0,0.18,0.779487,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498.28,17.113785,500.0,328.0,500.0,478.34,87.49482,500.0,68.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,1.5829366,0.8781349,1.7445385,0.0020259595,3.4382775,0.024007678,0.01718391,0.022063797,0.0020028348,0.17999247,1.5796574,0.91596115,1.764876,-0.008755775,3.475492,0.0032789633,0.15207878,0.012672083,-0.61661476,0.46850953,0.06361369,0.2635048,-0.00412334,-0.38157794,1.2370002,-0.029947627,0.25327578,-0.013914732,-1.5756177,0.6166149,0.09489067,0.2693796,0.011895077,0.00042330092,2.5361903,-0.0013293494,0.00014798729,-0.0012750038,-0.0016093941,-0.0011352219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7334524,1.0367714,0.31884098,0.032552022,6.875148,1.3293494,0.14798728,1.2750037,1.1352218,1.6093941,3.823082,0.60922694,3.5787213,3.111918,4.9997816,nan,nan,nan,nan,nan,11.88,7.6802087,13.0,1.0,22.0,nan,nan,nan,nan,nan
22,16983,249,41.35124969482422,20000,147,750,450.8667650797848,16.90750369049193,3.0,3.0,169.83,219.01715,13.5,1.0,500.0,-0.04,0.24166092,0.0,-1.0,1.0,0.06,0.23748685,0.0,0.0,1.0,-0.0124964425,0.06561409,0.0,-0.42988902,0.02087132,-0.0003662446,0.0018701081,0.0,-0.011764706,0.002,0.57,5.6714287,0.0,0.0,57.0,0.33,1.105034,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498.28,17.113785,500.0,328.0,500.0,471.99,98.36336,500.0,50.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,1.5750781,0.37314257,1.4708478,1.0044252,2.504371,0.018175524,0.005822565,0.01671886,0.009006181,0.034811296,1.5987244,0.37796623,1.5125678,1.1184095,2.5373776,-0.023646163,0.12020842,0.0013675285,-0.56446254,0.13254675,0.051280946,0.18870664,-0.00032347057,-0.10976726,0.9690873,0.024243938,0.12245471,-0.0013895475,-0.13254675,0.5665237,0.028202543,0.07045448,0.0029895327,0.00016733672,0.40577468,-0.0011655343,2.442732e-05,-0.0011673372,-0.0012147363,-0.0011117974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.58075744,0.96781427,0.21600331,0.009640428,5.6077085,1.1655343,0.024427319,1.1673372,1.1117973,1.2147362,3.2091377,0.0781957,3.2170384,3.0398269,3.3715928,nan,nan,nan,nan,nan,26.912,2.5737631,28.0,22.0,30.0,nan,nan,nan,nan,nan
26,26358,374,64.39608764648438,30000,173,1125,433.9366595233358,16.27262473212509,3.0,3.0,263.58,227.57199,254.0,1.0,500.0,-0.09,0.31921774,0.0,-1.0,1.0,0.11,0.31288972,0.0,0.0,1.0,-0.026567517,0.096221365,0.0,-0.59296644,0.02087132,-0.0008090298,0.0028778806,0.0,-0.018867925,0.002,0.82,6.169894,0.0,0.0,57.0,0.53,1.3225354,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,497.15,20.381548,500.0,328.0,500.0,453.23,122.67573,500.0,39.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,1.1411188,0.39486414,1.0741961,0.29234645,2.0854287,0.015096497,0.0067005204,0.013151305,0.0072657587,0.0403877,1.1493971,0.40067726,1.0787874,0.49875337,2.1852198,-0.00827812,0.10181535,0.009101355,-0.4132062,0.23159432,0.027091945,0.14140406,-0.009165533,-0.20015302,0.7040099,0.009230729,0.10416772,-0.009107215,-0.23392239,0.45292872,0.019105257,0.043430466,0.0022015213,0.00012835787,0.25237498,-0.001244043,4.1096482e-05,-0.0012520197,-0.0013067317,-0.0011636993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.50228965,0.709276,0.24130146,0.01952057,3.8846517,1.244043,0.04109648,1.2520196,1.1636993,1.3067317,3.4728756,0.14136136,3.4980228,3.2017727,3.6940885,nan,nan,nan,nan,nan,31.72,2.1673946,31.0,30.0,37.0,nan,nan,nan,nan,nan
31,36092,499,88.86613202095032,40000,204,1500,408.6629287209149,15.32485982703431,3.0,3.0,360.92,184.69357,500.0,1.0,500.0,-0.2,0.44721362,0.0,-1.0,1.0,0.24,0.42708316,0.0,0.0,1.0,-0.057340134,0.14573918,0.0,-0.7323034,0.02087132,-0.0018918514,0.0048925932,0.0,-0.03125,0.002,0.93,6.2518086,0.0,0.0,57.0,1.03,1.7689263,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496.71,20.786194,500.0,328.0,500.0,416.4,154.27573,500.0,27.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.8886848,0.25168478,0.8599826,0.34781522,1.695722,0.012754705,0.004522297,0.011871748,0.006526527,0.033384696,0.8957643,0.25510466,0.8655359,0.42824274,1.7643961,-0.0070794243,0.08785697,0.01632727,-0.33312666,0.27207187,0.027716763,0.123245984,-0.017108297,-0.19758496,0.586199,0.009146644,0.09276566,-0.016332854,-0.2723294,0.3614771,0.01991376,0.039077148,0.0016324682,0.00015502812,0.22604795,-0.0013436414,2.6775024e-05,-0.0013522707,-0.0013772019,-0.0012507208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.43797335,0.535643,0.23223244,0.019127702,2.7892344,1.3436414,0.026775023,1.3522706,1.2507207,1.3772018,3.8344738,0.10098473,3.866338,3.4932427,3.9637961,nan,nan,nan,nan,nan,37.728,0.5983444,38.0,37.0,39.0,nan,nan,nan,nan,nan
21,39442,624,113.824209690094,50000,225,1875,400.671883971387,15.025195648927012,3.0,3.0,394.42,170.08147,500.0,1.0,500.0,-0.09,0.5117617,0.0,-1.0,1.0,0.27,0.4439595,0.0,0.0,1.0,-0.041733656,0.1368537,0.0,-0.7323034,0.12870035,-0.0014081601,0.004733212,0.0,-0.03125,0.002,2.53,9.821869,0.0,0.0,80.0,0.91,1.7034963,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.92,60.559006,500.0,199.0,500.0,433.68,138.85394,500.0,27.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,1.2110506,0.27094543,1.2144127,0.579937,1.733814,0.014082058,0.004412034,0.013253495,0.008387891,0.036023624,1.225058,0.27953643,1.2012206,0.74598825,1.761236,-0.014007254,0.09001058,0.0056550973,-0.29276198,0.17307895,0.032239765,0.115974866,-0.005361708,-0.12741636,0.43204167,0.01411266,0.09016946,-0.005655098,-0.17307894,0.29276198,0.019406546,0.034693222,0.0018371906,0.000102892984,0.15307581,-0.0012794376,7.598462e-05,-0.0012995033,-0.0013798932,-0.0011316881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4867114,0.5702752,0.23062557,0.0097097745,2.6052296,1.2794374,0.07598462,1.2995032,1.1316881,1.3798931,3.6049557,0.2692725,3.6676831,3.100895,3.9744759,nan,nan,nan,nan,nan,41.136,0.8974987,41.0,40.0,42.0,nan,nan,nan,nan,nan
27,37719,749,136.36020398139954,60000,252,2250,443.7345816979565,16.64004681367337,3.0,3.0,377.19,173.42181,500.0,1.0,500.0,-0.19,0.57784075,0.0,-1.0,1.0,0.37,0.4828043,0.0,0.0,1.0,-0.057799034,0.14659041,0.0,-0.7323034,0.12870035,-0.0019616822,0.0049372404,0.0,-0.03125,0.002,2.96,10.61124,0.0,0.0,80.0,1.16,1.8478096,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.41,60.610912,500.0,199.0,500.0,411.23,152.02142,500.0,27.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.7155874,0.15650572,0.7054185,0.332231,1.1190879,0.010511255,0.0027514484,0.00979616,0.005933007,0.019772172,0.72200584,0.15202644,0.7334282,0.41356865,1.1086684,-0.006418508,0.06173532,0.011509256,-0.2702676,0.10993816,0.016866928,0.08373815,-0.012171648,-0.10168529,0.3986524,0.007013471,0.063066736,-0.011503011,-0.10996334,0.28449225,0.011051111,0.023270806,0.0008688028,7.527317e-05,0.12329707,-0.0011976529,3.2493e-05,-0.0012027023,-0.0012494999,-0.0011269286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.33890632,0.3664188,0.20763017,0.013465175,2.28937,1.1976528,0.032493,1.2027023,1.1269286,1.2494998,3.3143184,0.10668278,3.3291066,3.0862193,3.4888506,nan,nan,nan,nan,nan,42.688,0.46330985,43.0,42.0,43.0,nan,nan,nan,nan,nan
24,38680,874,155.53353667259216,70000,276,2625,521.5577365219117,19.558415119571688,3.0,3.0,386.8,166.15596,500.0,1.0,500.0,-0.19,0.57784075,0.0,-1.0,1.0,0.37,0.4828043,0.0,0.0,1.0,-0.056392174,0.14133117,0.0,-0.7323034,0.12870035,-0.0018936011,0.004737345,0.0,-0.03125,0.002,2.71,10.381036,0.0,0.0,80.0,1.15,1.8621224,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481.54,59.90817,500.0,199.0,500.0,412.01,151.79233,500.0,27.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.58210236,0.099485055,0.5794272,0.27821174,0.83921176,0.008158803,0.0018631096,0.007937982,0.0055578873,0.018256288,0.58429414,0.101022705,0.5788489,0.33270404,0.83184826,-0.0021917922,0.04630984,0.013566345,-0.22459793,0.074688286,0.0060967994,0.05584587,-0.014295557,-0.065154344,0.28148943,0.002335261,0.046472766,-0.013571961,-0.074900754,0.2245979,0.0049338024,0.010593946,0.00048186845,1.6280834e-05,0.0579831,-0.0011722642,4.3054024e-05,-0.0011846261,-0.0012083465,-0.0010227545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2484198,0.29223147,0.15406297,0.008437127,2.0316086,1.1722642,0.043054022,1.1846261,1.0227544,1.2083464,3.2323837,0.13241547,3.269918,2.7809188,3.349427,nan,nan,nan,nan,nan,43.0,0.0,43.0,43.0,43.0,nan,nan,nan,nan,nan
20,41949,999,174.66899251937866,80000,296,3000,522.5901112608898,19.597129172283367,3.0,3.0,419.49,147.50758,500.0,1.0,500.0,-0.12,0.5344156,0.0,-1.0,1.0,0.3,0.45825756,0.0,0.0,1.0,-0.038326077,0.116802834,0.0,-0.7323034,0.12870035,-0.0013032937,0.0040892293,0.0,-0.03125,0.002,2.71,10.381036,0.0,0.0,80.0,0.84,1.6169107,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481.54,59.90817,500.0,199.0,500.0,433.2,135.5747,500.0,27.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.56855327,0.09860421,0.5560409,0.38324806,0.8698098,0.0076101455,0.0016785391,0.007233846,0.004936588,0.01356965,0.5691046,0.10010606,0.56273,0.41639477,0.8465501,-0.0005513054,0.034701925,0.009263557,-0.11715937,0.059869863,0.0028143737,0.040849756,-0.010117813,-0.05201026,0.14505616,0.00061827514,0.034787584,-0.009273366,-0.059869863,0.117159344,0.003209336,0.006749652,0.00025819466,3.05731e-05,0.03345464,-0.0010132375,7.680102e-05,-0.0010332863,-0.0011101452,-0.0007962625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.20860071,0.2135405,0.12316985,0.0068577575,1.105703,1.0132375,0.076801024,1.0332863,0.7962625,1.1101452,2.762664,0.20023906,2.8103,2.2172878,3.0352318,nan,nan,nan,nan,nan,43.0,0.0,43.0,43.0,43.0,nan,nan,nan,nan,nan
20,43668,1124,191.97645044326782,90000,316,3375,577.7856022516852,21.666960084438195,3.0,3.0,436.68,130.65839,500.0,36.0,500.0,-0.16,0.41761225,0.0,-1.0,1.0,0.2,0.4,0.0,0.0,1.0,-0.028937878,0.08773057,0.0,-0.41712087,0.12870035,-0.000993408,0.002536731,0.0,-0.011363637,0.002,1.47,9.175464,0.0,0.0,80.0,0.76,1.5692036,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,492.59,40.433174,500.0,199.0,500.0,441.66,127.13656,500.0,62.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.45850533,0.06710954,0.45349407,0.25189453,0.6248025,0.006232876,0.0007591094,0.006134335,0.0048510344,0.008305263,0.45861763,0.065822504,0.45275846,0.29787156,0.62698144,-0.00011229816,0.032312628,0.010442211,-0.19496089,0.04309675,0.0015640612,0.03924945,-0.0113158105,-0.03664813,0.27933386,0.00017207528,0.032820817,-0.010439655,-0.044150863,0.2079583,0.0023682537,0.0071335738,0.00018687588,2.1376005e-05,0.07247133,-0.0009762678,8.284023e-05,-0.0009715947,-0.0011283811,-0.0008081757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.17656335,0.21205351,0.11310945,0.004021253,1.7808151,0.97626776,0.08284023,0.9715947,0.8081757,1.128381,2.6640537,0.22263071,2.6422606,2.243853,3.0906641,nan,nan,nan,nan,nan,43.0,0.0,43.0,43.0,43.0,nan,nan,nan,nan,nan
22,46874,1249,209.8851833343506,100000,338,3750,558.3867971462831,20.939504892985617,3.0,3.0,468.74,93.09314,500.0,36.0,500.0,-0.1,0.3,0.0,-1.0,0.0,0.1,0.3,0.0,0.0,1.0,-0.012636045,0.053202245,0.0,-0.41712087,0.0,-0.00048745907,0.0016698033,0.0,-0.011363637,0.0,0.43,4.2784467,0.0,0.0,43.0,0.41,1.1755426,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499.49,5.0744343,500.0,449.0,500.0,469.86,92.059555,500.0,82.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.44370678,0.069979414,0.44308716,0.15067957,0.59338313,0.0061517577,0.00095943466,0.006053348,0.003832323,0.00916664,0.4444163,0.06867412,0.4421974,0.13919237,0.5995108,-0.00070954935,0.03147878,0.010374235,-0.13517235,0.032234285,0.0025581026,0.037535146,-0.010823701,-0.03264831,0.18243843,0.0008182676,0.03169055,-0.0103719225,-0.03224633,0.13517234,0.0027480298,0.0065655303,0.0002744016,1.7303702e-05,0.048332375,-0.0010081955,3.428096e-05,-0.0010121725,-0.0011184871,-0.0009521308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.19062233,0.19437511,0.12650132,0.005643664,1.2109015,1.0081953,0.034280956,1.0121725,0.9521308,1.118487,2.7427642,0.09475419,2.7515855,2.592153,3.085332,nan,nan,nan,nan,nan,43.0,0.0,43.0,43.0,43.0,nan,nan,nan,nan,nan
