Diagnostics/NewCompletedTrajs,Diagnostics/StepsInTrajWindow,Diagnostics/Iteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumCompletedTrajs,Diagnostics/CumUpdates,Diagnostics/StepsPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,Length/Average,Length/Std,Length/Median,Length/Min,Length/Max,EpExtrinsicReward/Average,EpExtrinsicReward/Std,EpExtrinsicReward/Median,EpExtrinsicReward/Min,EpExtrinsicReward/Max,EpNonzeroExtrinsicRewards/Average,EpNonzeroExtrinsicRewards/Std,EpNonzeroExtrinsicRewards/Median,EpNonzeroExtrinsicRewards/Min,EpNonzeroExtrinsicRewards/Max,EpDiscountedExtrinsicReward/Average,EpDiscountedExtrinsicReward/Std,EpDiscountedExtrinsicReward/Median,EpDiscountedExtrinsicReward/Min,EpDiscountedExtrinsicReward/Max,EpAveExtrinsicReward/Average,EpAveExtrinsicReward/Std,EpAveExtrinsicReward/Median,EpAveExtrinsicReward/Min,EpAveExtrinsicReward/Max,visit_freq_a/Average,visit_freq_a/Std,visit_freq_a/Median,visit_freq_a/Min,visit_freq_a/Max,visit_freq_b/Average,visit_freq_b/Std,visit_freq_b/Median,visit_freq_b/Min,visit_freq_b/Max,visit_freq_c/Average,visit_freq_c/Std,visit_freq_c/Median,visit_freq_c/Min,visit_freq_c/Max,visit_freq_d/Average,visit_freq_d/Std,visit_freq_d/Median,visit_freq_d/Min,visit_freq_d/Max,visit_freq_e/Average,visit_freq_e/Std,visit_freq_e/Median,visit_freq_e/Min,visit_freq_e/Max,visit_freq_f/Average,visit_freq_f/Std,visit_freq_f/Median,visit_freq_f/Min,visit_freq_f/Max,visit_freq_g/Average,visit_freq_g/Std,visit_freq_g/Median,visit_freq_g/Min,visit_freq_g/Max,visit_freq_h/Average,visit_freq_h/Std,visit_freq_h/Median,visit_freq_h/Min,visit_freq_h/Max,visit_freq_i/Average,visit_freq_i/Std,visit_freq_i/Median,visit_freq_i/Min,visit_freq_i/Max,first_visit_a/Average,first_visit_a/Std,first_visit_a/Median,first_visit_a/Min,first_visit_a/Max,first_visit_b/Average,first_visit_b/Std,first_visit_b/Median,first_visit_b/Min,first_visit_b/Max,first_visit_c/Average,first_visit_c/Std,first_visit_c/Median,first_visit_c/Min,first_visit_c/Max,first_visit_d/Average,first_visit_d/Std,first_visit_d/Median,first_visit_d/Min,first_visit_d/Max,first_visit_e/Average,first_visit_e/Std,first_visit_e/Median,first_visit_e/Min,first_visit_e/Max,first_visit_f/Average,first_visit_f/Std,first_visit_f/Median,first_visit_f/Min,first_visit_f/Max,first_visit_g/Average,first_visit_g/Std,first_visit_g/Median,first_visit_g/Min,first_visit_g/Max,first_visit_h/Average,first_visit_h/Std,first_visit_h/Median,first_visit_h/Min,first_visit_h/Max,first_visit_i/Average,first_visit_i/Std,first_visit_i/Median,first_visit_i/Min,first_visit_i/Max,return_/Average,return_/Std,return_/Median,return_/Min,return_/Max,intrinsic_rewards/Average,intrinsic_rewards/Std,intrinsic_rewards/Median,intrinsic_rewards/Min,intrinsic_rewards/Max,valpred/Average,valpred/Std,valpred/Median,valpred/Min,valpred/Max,advantage/Average,advantage/Std,advantage/Median,advantage/Min,advantage/Max,loss/Average,loss/Std,loss/Median,loss/Min,loss/Max,pi_loss/Average,pi_loss/Std,pi_loss/Median,pi_loss/Min,pi_loss/Max,value_loss/Average,value_loss/Std,value_loss/Median,value_loss/Min,value_loss/Max,entropy_loss/Average,entropy_loss/Std,entropy_loss/Median,entropy_loss/Min,entropy_loss/Max,inv_loss/Average,inv_loss/Std,inv_loss/Median,inv_loss/Min,inv_loss/Max,forward_loss/Average,forward_loss/Std,forward_loss/Median,forward_loss/Min,forward_loss/Max,reward_total_std/Average,reward_total_std/Std,reward_total_std/Median,reward_total_std/Min,reward_total_std/Max,curiosity_loss/Average,curiosity_loss/Std,curiosity_loss/Median,curiosity_loss/Min,curiosity_loss/Max,gradNorm/Average,gradNorm/Std,gradNorm/Median,gradNorm/Min,gradNorm/Max,entropy/Average,entropy/Std,entropy/Median,entropy/Min,entropy/Max,perplexity/Average,perplexity/Std,perplexity/Median,perplexity/Min,perplexity/Max,rand_dummy_logging/Average,rand_dummy_logging/Std,rand_dummy_logging/Median,rand_dummy_logging/Min,rand_dummy_logging/Max,art_num_classes/Average,art_num_classes/Std,art_num_classes/Median,art_num_classes/Min,art_num_classes/Max,kohonen_dw/Average,kohonen_dw/Std,kohonen_dw/Median,kohonen_dw/Min,kohonen_dw/Max
480,660,124,32.594446897506714,10000,480,375,306.8007268675249,11.505027257532182,3.0,3.0,6.6,7.9599,4.0,1.0,50.0,-0.01,0.09949875,0.0,-1.0,0.0,0.01,0.09949875,0.0,0.0,1.0,-0.0061111725,0.060805403,0.0,-0.61111724,0.0,-0.0002,0.0019899746,0.0,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.397995,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,495.43,45.47093,500.0,43.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,-0.0014668901,0.02425059,0.0010172229,-0.2530655,0.013110006,0.0008917262,0.001033423,0.00084798905,4.1298474e-05,0.0076599317,-0.001929009,0.02353662,0.00019819872,-0.25682738,0.011328402,0.00046211891,0.0095608,0.00064984296,-0.09422661,0.047933847,1.0688514,0.21363048,1.0712928,0.19188187,1.5267186,0.0012342841,0.030317416,4.6509867e-05,-0.1535216,0.30516395,0.0010634148,0.009538724,1.0901388e-06,2.385219e-07,0.12150863,-0.0015972583,2.2245005e-05,-0.001604489,-0.0016092235,-0.0014708667,1.0671735,0.2081748,1.0727817,0.19032581,1.2986182,0.0009773392,0.0016475391,0.0004689146,2.7405686e-05,0.016143776,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8295372,0.69273984,0.5805284,0.05313261,3.546966,1.5972581,0.022245001,1.604489,1.4708667,1.6092235,4.94094,0.10472642,4.9753294,4.3593097,4.9989285,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
416,1578,249,65.66930818557739,20000,896,750,302.34442747630703,11.337916030361514,3.0,3.0,15.78,29.27032,5.0,1.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.00692884,0.017781304,0.0024234497,-0.0722714,0.08655806,0.001546844,0.0003272552,0.0015609727,0.00075528165,0.0026449922,0.0048938124,0.02067896,0.0010538307,-0.1449393,0.08310087,0.0020350276,0.008152396,0.0014757928,-0.030553361,0.07906093,0.64876163,0.17682394,0.67189795,0.09118448,1.1050233,-0.0007428477,0.014475145,-4.264914e-06,-0.13376558,0.06419439,0.00039227513,0.0031666886,1.2841608e-05,1.2761622e-06,0.035573043,-0.0015489038,9.685014e-05,-0.0015895666,-0.0016044213,-0.0011462938,0.6462531,0.17924634,0.668004,0.09016173,1.1039593,0.004407956,0.002334879,0.0037343649,0.0010697885,0.011425072,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.8771536,0.86581665,1.7764037,0.51612455,5.227098,1.5489037,0.096850134,1.5895665,1.1462938,1.6044213,4.728123,0.40182832,4.9018188,3.162847,4.975006,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
58,9498,374,100.02636885643005,30000,954,1125,291.0609873120972,10.914787024203644,3.0,3.0,94.98,146.72478,33.5,1.0,500.0,0.01,0.17291616,0.0,-1.0,1.0,0.03,0.17058723,0.0,0.0,1.0,0.00058280805,0.0050921366,0.0,-0.01212971,0.03591281,1.727273e-05,0.0003624287,0.0,-0.0022727272,0.002,1.74,10.172138,0.0,0.0,73.0,0.03,0.29849628,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,492.84,40.89247,500.0,235.0,500.0,499.3,6.964914,500.0,430.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.054145034,0.081050254,0.04537031,-0.21391651,0.3827326,0.0008592205,0.00021540602,0.0008445221,0.00042797765,0.0013392813,0.053254474,0.083256386,0.044193633,-0.23804355,0.40992203,0.00089055195,0.02187112,0.0014274941,-0.15085216,0.1338178,0.7028031,0.19536097,0.6979798,0.24291591,1.546043,-0.0008919111,0.021868883,-0.0014782799,-0.13711217,0.15085216,0.0011580407,0.0065253205,2.2337123e-05,5.423258e-07,0.052829605,-0.0012926215,7.523544e-05,-0.001288611,-0.0014073474,-0.0010821738,0.6933476,0.18887286,0.6872884,0.2410665,1.3103528,0.010481949,0.004763362,0.009382123,0.003918988,0.033470076,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.8818502,0.76273024,1.7904214,0.3581131,4.3775725,1.2926214,0.075235434,1.2886109,1.0821737,1.4073473,3.6542747,0.2695943,3.6277573,2.9585588,4.0912194,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
85,12549,499,134.19023060798645,40000,1039,1500,292.70695662923504,10.976510873596315,3.0,3.0,125.49,164.83952,55.5,1.0,500.0,-0.07,0.255147,0.0,-1.0,0.0,0.07,0.255147,0.0,0.0,1.0,-0.025748119,0.10233757,0.0,-0.54715663,0.0,-0.00074759865,0.0029235266,0.0,-0.016393442,0.0,0.35,3.4824564,0.0,0.0,35.0,0.32,1.2718492,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496.91,30.745111,500.0,191.0,500.0,472.19,103.11883,500.0,46.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.005795022,0.06359231,0.028122285,-0.21258041,0.07805802,0.00075082463,0.00022283183,0.0007195587,0.00032761108,0.0013425719,0.006843914,0.0621117,0.028442383,-0.21476622,0.08045,-0.0010488937,0.018433318,0.0014971271,-0.10346234,0.035747506,0.83678305,0.14647008,0.83307606,0.48174557,1.4767121,0.0012400808,0.021069892,-0.0014496384,-0.048022524,0.11043318,0.0017409855,0.007047521,3.0992043e-05,1.5113081e-06,0.044404905,-0.0013634631,4.0239498e-05,-0.0013563914,-0.0014452803,-0.0013004285,0.8254528,0.13763244,0.8240391,0.47589064,1.2787284,0.009712716,0.007617775,0.008182316,0.0017510838,0.064246885,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.5106578,1.1491514,2.3134933,0.395676,6.299609,1.363463,0.040239494,1.3563913,1.3004285,1.4452802,3.9142668,0.15925792,3.8821945,3.6708748,4.248819,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
40,15220,624,168.39288592338562,50000,1079,1875,292.37496059253823,10.964061022220182,3.0,3.0,152.2,184.58737,62.0,1.0,500.0,-0.02,0.14,0.0,-1.0,0.0,0.02,0.14,0.0,0.0,1.0,-0.007663939,0.058444142,0.0,-0.54715663,0.0,-0.0002297239,0.0017514282,0.0,-0.016393442,0.0,2.14,15.764531,0.0,0.0,153.0,0.07,0.49507576,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,492.09,46.081253,500.0,191.0,500.0,491.72,58.136414,500.0,54.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.024143608,0.03259204,0.031010259,-0.1555215,0.062415607,0.000576612,0.00022896944,0.00057664455,0.00015158407,0.0011997124,0.024046848,0.033592936,0.030731354,-0.1659665,0.063476644,9.6758944e-05,0.009999819,0.00034102914,-0.10254127,0.02039885,0.8402839,0.11682639,0.84863,0.52624595,1.2063719,6.638086e-05,0.010862019,-0.00034322432,-0.020398851,0.11408549,0.00036089294,0.0035732647,1.6255703e-05,5.094903e-07,0.042644594,-0.0012726578,7.8558995e-05,-0.0012526617,-0.0013924695,-0.0011633008,0.8351608,0.11385931,0.8474393,0.519938,1.11825,0.005968454,0.004745461,0.0050337496,0.00042389423,0.03942735,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.9106913,0.8713192,1.842704,0.47544968,4.5892,1.2726578,0.07855899,1.2526616,1.1633008,1.3924694,3.5826414,0.2830346,3.5024085,3.200518,4.0248785,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
27,24221,749,202.53427696228027,60000,1106,2250,292.8996064808189,10.983735243030708,3.0,3.0,242.21,210.99251,159.5,1.0,500.0,-0.03,0.22158517,0.0,-1.0,1.0,0.05,0.21794495,0.0,0.0,1.0,-0.011434697,0.058064725,0.0,-0.36603233,0.02045598,-0.0003056521,0.0016294381,0.0,-0.00990099,0.002,2.83,17.108511,0.0,0.0,153.0,0.15,0.76648545,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489.98,50.30765,500.0,191.0,500.0,484.02,78.39528,500.0,77.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.0681228,0.05582858,0.07030003,-0.13197693,0.18704382,0.0011043275,0.00058754795,0.0009660219,0.00030964593,0.0043418286,0.068444274,0.05514631,0.06655382,-0.14733979,0.19298495,-0.00032148563,0.017697034,0.0016588081,-0.12910788,0.08318013,0.72230434,0.119355895,0.7192425,0.46164405,1.0398389,0.00055091956,0.018325493,-0.001664721,-0.083401665,0.12910788,0.0011149504,0.005748554,4.6837347e-05,5.0649924e-06,0.042886373,-0.0012211739,0.00010891122,-0.0011887208,-0.001390516,-0.0010504544,0.70930004,0.1106428,0.71281916,0.45044976,0.9857885,0.01255965,0.007965425,0.009910148,0.003660002,0.04906237,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.9275515,1.6632004,2.477887,0.4489451,10.139427,1.2211739,0.10891122,1.1887207,1.0504544,1.3905159,3.4120436,0.37761378,3.2828808,2.8589578,4.017683,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
22,32136,874,236.79025793075562,70000,1128,2625,291.9198258897526,10.946993470865722,3.0,3.0,321.36,210.71384,500.0,1.0,500.0,-0.04,0.24166091,0.0,-1.0,1.0,0.06,0.23748685,0.0,0.0,1.0,-0.011533907,0.058053587,0.0,-0.36603233,0.02045598,-0.0003273912,0.0016396845,0.0,-0.00990099,0.002,2.48,16.80207,0.0,0.0,153.0,0.2,0.9055386,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493.07,40.353752,500.0,200.0,500.0,483.41,78.50582,500.0,77.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.05734005,0.04957907,0.06559889,-0.17575723,0.14619319,0.0010862969,0.00032525498,0.0010110578,0.0006026776,0.0025163468,0.056765415,0.04982272,0.063608035,-0.1990207,0.14184472,0.0005746428,0.012594351,0.0020201846,-0.11527498,0.023263475,0.61782944,0.14895903,0.590774,0.31663755,1.202991,-0.0005736575,0.012576626,-0.002032407,-0.023267537,0.11527498,0.00030983138,0.0023388483,3.5082026e-05,3.1664363e-06,0.029278617,-0.0012869731,5.5029173e-05,-0.0012841412,-0.0013797764,-0.001187456,0.60453284,0.13860339,0.5807449,0.30717778,1.1302515,0.014847468,0.00857952,0.011933187,0.004964493,0.06142651,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.7041726,1.604147,2.3556879,0.46058053,9.421129,1.2869731,0.055029172,1.2841412,1.1874559,1.3797764,3.6274545,0.19882144,3.6115673,3.2787318,3.9740136,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23,36183,999,271.126665353775,80000,1151,3000,291.23605963785013,10.921352236419379,3.0,3.0,361.83,200.36446,500.0,1.0,500.0,0.0,0.31622776,0.0,-1.0,1.0,0.1,0.3,0.0,0.0,1.0,-0.014309011,0.08605572,0.0,-0.6689718,0.07944545,-0.00042550414,0.002879359,0.0,-0.024390243,0.002,8.88,27.469719,0.0,0.0,153.0,0.2,0.9055386,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472.51,75.4576,500.0,181.0,500.0,482.57,82.74602,500.0,34.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.11445879,0.07290521,0.08919465,-0.051417995,0.3517608,0.0012258501,0.0004119941,0.0011583648,0.00035648228,0.0029311657,0.11428483,0.078140244,0.08976637,-0.06561436,0.36877912,0.0001739784,0.021269094,-0.0015767073,-0.061620254,0.12411942,0.7185484,0.14268202,0.69667745,0.42335516,1.1857429,-0.00018036421,0.021337466,0.0015735276,-0.12556578,0.061620247,0.001574143,0.0065634395,6.887859e-05,3.5864493e-06,0.043974068,-0.00127123,4.4621254e-05,-0.0012703136,-0.0013817424,-0.0011889923,0.70288813,0.13747817,0.6806179,0.41236982,1.1263659,0.015537672,0.008023352,0.013912978,0.0020222047,0.05633986,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.5655234,1.4904025,2.2116237,0.6310295,10.069674,1.27123,0.044621244,1.2703136,1.1889923,1.3817424,3.5690098,0.15934418,3.5619767,3.283935,3.9819999,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24,41461,1124,305.6982309818268,90000,1175,3375,289.25505161056077,10.847064435396028,3.0,3.0,414.61,164.072,500.0,1.0,500.0,0.04,0.37202153,0.0,-1.0,1.0,0.14,0.34698704,0.0,0.0,1.0,-0.0070778383,0.096116774,0.0,-0.6689718,0.2790421,-0.000342356,0.0029202984,0.0,-0.024390243,0.0023148148,10.43,25.079975,0.0,0.0,128.0,0.2,0.9055386,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.87,114.25354,500.0,98.0,500.0,482.57,82.74601,500.0,34.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.07820582,0.051130272,0.06340833,0.026676163,0.36579186,0.00083601935,0.0002570137,0.0007961978,0.0003564369,0.001954095,0.07686245,0.048563924,0.06282906,0.02788077,0.28841108,0.0013433603,0.027436966,-0.00026511535,-0.05750872,0.27060312,0.7294342,0.11145089,0.72153074,0.42329645,1.0166605,-0.0013293207,0.027696665,0.00026435338,-0.2768059,0.057508726,0.0013227132,0.008671027,2.0740614e-05,1.4784127e-06,0.094443366,-0.0012562274,4.0700703e-05,-0.0012481178,-0.0013441679,-0.0011983415,0.7214796,0.10969554,0.7128409,0.41550303,1.0107907,0.009217417,0.006426774,0.0077289077,0.0019722015,0.062246382,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.3305538,1.1544191,2.0831609,0.46341103,6.3653507,1.2562273,0.0407007,1.2481177,1.1983415,1.3441678,3.5153542,0.14450411,3.4843102,3.314624,3.8349984,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
22,44004,1249,340.3102533817291,100000,1197,3750,288.9169515858228,10.834385684468355,3.0,3.0,440.04,144.2687,500.0,1.0,500.0,0.15,0.40926763,0.0,-1.0,1.0,0.19,0.39230093,0.0,0.0,1.0,0.005408638,0.080262884,0.0,-0.6689718,0.2790421,7.7506615e-05,0.0025852802,0.0,-0.024390243,0.0023148148,12.42,25.446487,0.0,0.0,128.0,0.09,0.63395584,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,427.74,118.129555,500.0,98.0,500.0,494.73,46.701138,500.0,34.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.17110616,0.07878195,0.15883674,0.056352865,0.39231676,0.0014388064,0.00038218312,0.0014074945,0.00056792935,0.0025207016,0.16789603,0.08074062,0.1555672,0.04918847,0.4137702,0.0032100945,0.03731742,-0.0017391114,-0.116712496,0.1473198,0.63180214,0.124894865,0.6156883,0.38976786,1.0287747,-0.0031184687,0.037696417,0.001739477,-0.14762072,0.12813783,0.0037548966,0.011186137,6.905314e-05,4.963686e-06,0.049023606,-0.0012912146,4.127454e-05,-0.0012903698,-0.0013661953,-0.0011946498,0.61475796,0.11855779,0.6045503,0.36371985,0.9500186,0.017699046,0.011925581,0.014627352,0.0022618433,0.07251971,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0369608,1.7462034,2.5768733,0.5482916,13.269957,1.2912145,0.041274544,1.2903697,1.1946498,1.3661952,3.6404781,0.15003066,3.6341991,3.3024418,3.9204648,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
