Diagnostics/NewCompletedTrajs,Diagnostics/StepsInTrajWindow,Diagnostics/Iteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumCompletedTrajs,Diagnostics/CumUpdates,Diagnostics/StepsPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,Length/Average,Length/Std,Length/Median,Length/Min,Length/Max,EpExtrinsicReward/Average,EpExtrinsicReward/Std,EpExtrinsicReward/Median,EpExtrinsicReward/Min,EpExtrinsicReward/Max,EpNonzeroExtrinsicRewards/Average,EpNonzeroExtrinsicRewards/Std,EpNonzeroExtrinsicRewards/Median,EpNonzeroExtrinsicRewards/Min,EpNonzeroExtrinsicRewards/Max,EpDiscountedExtrinsicReward/Average,EpDiscountedExtrinsicReward/Std,EpDiscountedExtrinsicReward/Median,EpDiscountedExtrinsicReward/Min,EpDiscountedExtrinsicReward/Max,EpAveExtrinsicReward/Average,EpAveExtrinsicReward/Std,EpAveExtrinsicReward/Median,EpAveExtrinsicReward/Min,EpAveExtrinsicReward/Max,visit_freq_a/Average,visit_freq_a/Std,visit_freq_a/Median,visit_freq_a/Min,visit_freq_a/Max,visit_freq_b/Average,visit_freq_b/Std,visit_freq_b/Median,visit_freq_b/Min,visit_freq_b/Max,visit_freq_c/Average,visit_freq_c/Std,visit_freq_c/Median,visit_freq_c/Min,visit_freq_c/Max,visit_freq_d/Average,visit_freq_d/Std,visit_freq_d/Median,visit_freq_d/Min,visit_freq_d/Max,visit_freq_e/Average,visit_freq_e/Std,visit_freq_e/Median,visit_freq_e/Min,visit_freq_e/Max,visit_freq_f/Average,visit_freq_f/Std,visit_freq_f/Median,visit_freq_f/Min,visit_freq_f/Max,visit_freq_g/Average,visit_freq_g/Std,visit_freq_g/Median,visit_freq_g/Min,visit_freq_g/Max,visit_freq_h/Average,visit_freq_h/Std,visit_freq_h/Median,visit_freq_h/Min,visit_freq_h/Max,visit_freq_i/Average,visit_freq_i/Std,visit_freq_i/Median,visit_freq_i/Min,visit_freq_i/Max,first_visit_a/Average,first_visit_a/Std,first_visit_a/Median,first_visit_a/Min,first_visit_a/Max,first_visit_b/Average,first_visit_b/Std,first_visit_b/Median,first_visit_b/Min,first_visit_b/Max,first_visit_c/Average,first_visit_c/Std,first_visit_c/Median,first_visit_c/Min,first_visit_c/Max,first_visit_d/Average,first_visit_d/Std,first_visit_d/Median,first_visit_d/Min,first_visit_d/Max,first_visit_e/Average,first_visit_e/Std,first_visit_e/Median,first_visit_e/Min,first_visit_e/Max,first_visit_f/Average,first_visit_f/Std,first_visit_f/Median,first_visit_f/Min,first_visit_f/Max,first_visit_g/Average,first_visit_g/Std,first_visit_g/Median,first_visit_g/Min,first_visit_g/Max,first_visit_h/Average,first_visit_h/Std,first_visit_h/Median,first_visit_h/Min,first_visit_h/Max,first_visit_i/Average,first_visit_i/Std,first_visit_i/Median,first_visit_i/Min,first_visit_i/Max,return_/Average,return_/Std,return_/Median,return_/Min,return_/Max,intrinsic_rewards/Average,intrinsic_rewards/Std,intrinsic_rewards/Median,intrinsic_rewards/Min,intrinsic_rewards/Max,valpred/Average,valpred/Std,valpred/Median,valpred/Min,valpred/Max,advantage/Average,advantage/Std,advantage/Median,advantage/Min,advantage/Max,loss/Average,loss/Std,loss/Median,loss/Min,loss/Max,pi_loss/Average,pi_loss/Std,pi_loss/Median,pi_loss/Min,pi_loss/Max,value_loss/Average,value_loss/Std,value_loss/Median,value_loss/Min,value_loss/Max,entropy_loss/Average,entropy_loss/Std,entropy_loss/Median,entropy_loss/Min,entropy_loss/Max,inv_loss/Average,inv_loss/Std,inv_loss/Median,inv_loss/Min,inv_loss/Max,forward_loss/Average,forward_loss/Std,forward_loss/Median,forward_loss/Min,forward_loss/Max,reward_total_std/Average,reward_total_std/Std,reward_total_std/Median,reward_total_std/Min,reward_total_std/Max,curiosity_loss/Average,curiosity_loss/Std,curiosity_loss/Median,curiosity_loss/Min,curiosity_loss/Max,gradNorm/Average,gradNorm/Std,gradNorm/Median,gradNorm/Min,gradNorm/Max,entropy/Average,entropy/Std,entropy/Median,entropy/Min,entropy/Max,perplexity/Average,perplexity/Std,perplexity/Median,perplexity/Min,perplexity/Max,rand_dummy_logging/Average,rand_dummy_logging/Std,rand_dummy_logging/Median,rand_dummy_logging/Min,rand_dummy_logging/Max,art_num_classes/Average,art_num_classes/Std,art_num_classes/Median,art_num_classes/Min,art_num_classes/Max,kohonen_dw/Average,kohonen_dw/Std,kohonen_dw/Median,kohonen_dw/Min,kohonen_dw/Max
151,6915,124,13.107764720916748,10000,151,375,762.9065834575498,28.608996879658118,3.0,3.0,69.15,149.83273,5.0,1.0,500.0,0.0,0.34641016,0.0,-1.0,1.0,0.12,0.3249615,0.0,0.0,1.0,-0.009436115,0.11957217,0.0,-0.6426116,0.2993804,-0.00058373134,0.0033373872,0.0,-0.022222223,0.0032467532,1.53,7.994317,0.0,0.0,71.0,0.23,0.91493165,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477.67,88.55575,500.0,97.0,500.0,472.14,103.24572,500.0,24.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.17475924,0.16046996,0.18540403,-0.14274779,0.47205645,0.0027539176,0.0014455431,0.0025550767,7.025572e-05,0.008617628,0.17358278,0.16240884,0.1810796,-0.13655195,0.4892405,0.0011764681,0.029077146,-0.001684155,-0.09459875,0.14228655,0.0014775335,0.036903378,0.0026496302,-0.106258824,0.175089,-0.0011251731,0.035458885,0.0033677523,-0.1424422,0.114665136,0.0039359536,0.009857764,0.0005445795,1.1246406e-05,0.06176752,-0.0013332476,0.00017140477,-0.0013051959,-0.0016089908,-0.0010616519,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.12245282,0.15081261,0.06674687,0.0015023419,0.9821281,1.3332475,0.17140475,1.3051958,1.0616518,1.6089908,3.8522434,0.68160456,3.6899776,2.8911452,4.9977646,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
27,15865,249,26.81840181350708,20000,178,750,729.3607096787881,27.351026612954552,3.0,3.0,158.65,212.46089,15.0,1.0,500.0,-0.04,0.397995,0.0,-1.0,1.0,0.16,0.36660612,0.0,0.0,1.0,-0.016454365,0.1291991,0.0,-0.6426116,0.2993804,-0.00082911714,0.0036120687,0.0,-0.022222223,0.0032467532,1.53,7.9943166,0.0,0.0,71.0,0.41,1.2497602,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477.67,88.55575,500.0,97.0,500.0,461.42,115.89565,500.0,24.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.20676741,0.09061979,0.19875571,-0.013039915,0.36963728,0.0031713517,0.0008399581,0.003064171,0.0016813185,0.0057453844,0.20664231,0.090546444,0.198298,-0.03155431,0.3672878,0.00012512943,0.023201369,0.0051757847,-0.13231045,0.03169362,0.00052339723,0.030732041,-0.006399125,-0.039714303,0.19590163,-7.6135955e-05,0.024241442,-0.005176577,-0.0400121,0.14113113,0.0018699727,0.007851021,0.00017324294,1.6636677e-05,0.056115773,-0.0012704396,5.505373e-05,-0.0012761238,-0.0013797912,-0.0011300123,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0955891,0.13278733,0.0516112,0.0024028185,1.0419141,1.2704396,0.05505373,1.2761238,1.1300123,1.3797911,3.56838,0.19306098,3.582735,3.0957084,3.9753819,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
25,26172,374,46.06445074081421,30000,203,1125,519.5871650212614,19.484518688297303,3.0,3.0,261.72,225.46043,253.5,1.0,500.0,-0.07,0.45287967,0.0,-1.0,1.0,0.21,0.40730825,0.0,0.0,1.0,-0.022654518,0.13460691,0.0,-0.6426116,0.2993804,-0.0010305367,0.0037710776,0.0,-0.022222223,0.0032467532,3.1,13.494072,0.0,0.0,89.0,0.57,1.3874798,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474.49,90.79444,500.0,97.0,500.0,447.53,128.22826,500.0,24.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.23689207,0.06989552,0.22975473,0.042743035,0.41147438,0.0037940592,0.00082099566,0.0037335746,0.0016989916,0.005716411,0.23689759,0.072474994,0.23133473,0.058611084,0.40632313,-5.514823e-06,0.025722643,0.005960694,-0.1288312,0.03881478,0.0012113992,0.033341303,-0.0071405433,-0.036838207,0.17977077,0.00022047323,0.026591724,-0.006228307,-0.038832635,0.13046196,0.002322627,0.008113609,0.00034132416,2.8665923e-05,0.058237344,-0.0013317008,3.8723803e-05,-0.0013330523,-0.0013857525,-0.0012245545,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.11662281,0.13414659,0.075256795,0.0044460385,0.92129564,1.3317008,0.0387238,1.3330523,1.2245544,1.3857524,3.7904518,0.14474556,3.793056,3.4026783,3.9981523,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
22,35860,499,69.09704184532166,40000,225,1500,434.1673915290848,16.28127718234068,3.0,3.0,358.6,197.37248,500.0,1.0,500.0,-0.07,0.45287967,0.0,-1.0,1.0,0.21,0.40730825,0.0,0.0,1.0,-0.022654518,0.13460691,0.0,-0.6426116,0.2993804,-0.0010305366,0.0037710776,0.0,-0.022222223,0.0032467532,3.1,13.494072,0.0,0.0,89.0,0.57,1.3874798,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474.49,90.79443,500.0,97.0,500.0,447.53,128.22827,500.0,24.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.24548471,0.051002357,0.24640545,0.12017226,0.35559177,0.0032770622,0.00058120425,0.003376395,0.0017708354,0.004464624,0.24537137,0.05360709,0.246456,0.1188259,0.3606018,0.000113354195,0.016080337,0.0053431094,-0.051266275,0.020804133,-0.00077881623,0.0172141,-0.0065508746,-0.021983102,0.056272667,-0.0001189305,0.016083144,-0.0053410213,-0.020804131,0.051266275,0.00058841985,0.0012161534,8.095905e-05,1.0921792e-06,0.0062761367,-0.0012483053,9.283186e-05,-0.0012862309,-0.0013463844,-0.0010445024,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.080446415,0.08350708,0.048617214,0.0028139886,0.44798318,1.2483053,0.09283186,1.2862308,1.0445023,1.3463843,3.499224,0.30939046,3.6191227,2.841992,3.8435059,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
22,40957,624,92.20609927177429,50000,247,1875,432.7307607342362,16.22740352753386,3.0,3.0,409.57,169.7315,500.0,1.0,500.0,-0.06,0.36932367,0.0,-1.0,1.0,0.14,0.34698704,0.0,0.0,1.0,-0.01580036,0.085912645,0.0,-0.5203405,0.22368868,-0.00058069325,0.0024621459,0.0,-0.015151516,0.002,2.55,13.168426,0.0,0.0,89.0,0.4,1.174734,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,487.31,59.26967,500.0,119.0,500.0,468.27,97.1369,500.0,58.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.2404719,0.09681269,0.21969399,0.030327544,0.52779245,0.003493147,0.0010795278,0.0031271442,0.0018920787,0.0070932596,0.23946099,0.09772162,0.21616428,0.01716663,0.53688383,0.0010108914,0.024796834,0.006301687,-0.16051486,0.035552766,-0.00076566584,0.029229559,-0.0074669714,-0.029238883,0.20385797,-0.0009744709,0.025107134,-0.0063106893,-0.037264526,0.16051488,0.0015297942,0.006930736,0.00014550763,4.2788643e-06,0.056909837,-0.0013209889,3.9012146e-05,-0.0013299593,-0.0013730364,-0.0012301281,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.10303726,0.14319038,0.062072095,0.0018590507,1.2939018,1.3209888,0.039012145,1.3299592,1.230128,1.3730364,3.7500436,0.14480636,3.7812676,3.4228756,3.9474964,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
21,43694,749,114.94082760810852,60000,268,2250,439.8557067435102,16.494589002881632,3.0,3.0,436.94,145.2839,500.0,1.0,500.0,0.05,0.38405728,0.0,-1.0,1.0,0.15,0.35707143,0.0,0.0,1.0,0.0038898499,0.06499175,0.0,-0.362372,0.33437687,-6.379237e-05,0.0014436169,0.0,-0.009803922,0.002,4.49,17.15663,0.0,0.0,119.0,0.19,0.7575619,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472.28,87.91644,500.0,85.0,500.0,483.41,68.76876,500.0,92.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.41615945,0.1113976,0.4177507,0.23506644,0.69353175,0.004816234,0.0013213792,0.00454851,0.0022472881,0.009389965,0.4159624,0.11615469,0.41463074,0.23973992,0.68984866,0.00019710082,0.040517118,0.0051094736,-0.1686748,0.12989068,0.00240157,0.040095076,-0.0062119933,-0.09264794,0.20015234,-0.00031009785,0.040635396,-0.0051008835,-0.12989067,0.16867477,0.003910833,0.009342985,0.00020236387,2.6150508e-05,0.04452411,-0.0011991655,4.9915387e-05,-0.0012162235,-0.0012643154,-0.0010803604,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.17400542,0.21350943,0.0887212,0.0054055657,1.3692803,1.1991655,0.049915385,1.2162234,1.0803603,1.2643154,3.3216794,0.16175969,3.374438,2.9457595,3.540689,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
22,45486,874,137.44034123420715,70000,290,2625,444.4540520378341,16.66702695141878,3.0,3.0,454.86,124.91461,500.0,1.0,500.0,0.18,0.47707438,0.0,-1.0,1.0,0.26,0.43863428,0.0,0.0,1.0,0.016210528,0.07077626,0.0,-0.362372,0.33437687,0.00023335051,0.0014788902,0.0,-0.009803922,0.002,8.26,22.41991,0.0,0.0,119.0,0.16,0.70313597,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.31,124.03474,500.0,85.0,500.0,486.81,60.61677,500.0,92.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.37039673,0.08218097,0.35619292,0.2203497,0.5781196,0.0037243064,0.00050106936,0.0036776215,0.0026556612,0.0054705148,0.37021026,0.08512791,0.35484904,0.21732529,0.59267765,0.00018645937,0.036927395,-8.330673e-05,-0.07627801,0.1405453,0.0030989011,0.031202042,-0.0010936625,-0.09996658,0.08486085,-0.00015340344,0.037107553,8.512905e-05,-0.14115383,0.07630102,0.0045521474,0.011140079,0.00010998164,1.3419574e-05,0.052831244,-0.0012998424,2.870078e-05,-0.0012998249,-0.0013538164,-0.0012214013,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.14511777,0.1847056,0.06833946,0.0035124577,0.9549303,1.2998422,0.028700782,1.2998248,1.2214012,1.3538163,3.670312,0.10466445,3.6687126,3.392016,3.8721974,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
21,46057,999,159.91835641860962,80000,311,3000,444.87913714637125,16.68296764298892,3.0,3.0,460.57,115.41813,500.0,1.0,500.0,0.25,0.4974937,0.0,-1.0,1.0,0.31,0.46249324,0.0,0.0,1.0,0.023063092,0.06805691,0.0,-0.23759255,0.33437687,0.0004378592,0.0013144314,0.0,-0.0069444445,0.0034246575,10.87,23.450226,0.0,0.0,119.0,0.1,0.5744562,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.58,133.47015,500.0,85.0,500.0,492.58,45.829727,500.0,139.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.29540026,0.081755295,0.29019344,0.13021795,0.5060716,0.0033719626,0.0006398691,0.003387211,0.0019837767,0.0053877635,0.29561275,0.0821255,0.28411615,0.15122524,0.51169485,-0.00021254999,0.030129291,0.0031464174,-0.07701299,0.1352285,0.0022857657,0.030010987,-0.0044986447,-0.09706653,0.13002412,0.0005055471,0.031108467,-0.003146619,-0.13627866,0.086161114,0.003142039,0.009485372,0.00011427312,1.5356802e-05,0.04997725,-0.0013618203,2.5493695e-05,-0.0013688491,-0.0013872394,-0.0013114527,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.11275539,0.15584822,0.05426262,0.003323717,0.87557656,1.3618202,0.025493696,1.368849,1.3114526,1.3872393,3.9045706,0.09858631,3.9308267,3.7115757,4.0038023,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23,45227,1124,182.41312384605408,90000,334,3375,444.54782794507247,16.67054354794022,3.0,3.0,452.27,123.32459,500.0,1.0,500.0,0.2,0.56568545,0.0,-1.0,1.0,0.36,0.48000002,0.0,0.0,1.0,0.005749188,0.119256005,0.0,-0.66228205,0.33437687,-0.00014048448,0.0033952913,0.0,-0.023809524,0.0034246575,10.87,23.450226,0.0,0.0,119.0,0.34,1.0697663,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.58,133.47015,500.0,85.0,500.0,470.59,100.08757,500.0,36.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.17853063,0.07766257,0.19994953,-0.1120947,0.28340462,0.0028177572,0.00043365796,0.0028053694,0.0018100932,0.004350218,0.17869754,0.07814438,0.20086098,-0.07576494,0.28280973,-0.0001669069,0.02269975,0.003949249,-0.14616995,0.026414528,0.00080683193,0.030405188,-0.005112663,-0.027671373,0.19953714,0.0004921141,0.024103543,-0.0039487346,-0.026419908,0.14616993,0.0016452351,0.0069902292,6.262449e-05,4.7521276e-06,0.054746807,-0.0013305175,4.891479e-05,-0.0013347956,-0.0013821474,-0.0012177182,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.08027975,0.12247504,0.03886863,0.0026012945,0.97090673,1.3305173,0.04891479,1.3347956,1.2177181,1.3821473,3.7874708,0.17984514,3.7992206,3.3794694,3.983532,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
21,45789,1249,204.62925958633423,100000,355,3750,450.12328502607073,16.87962318847765,3.0,3.0,457.89,117.75881,500.0,1.0,500.0,0.17,0.5666568,0.0,-1.0,1.0,0.35,0.4769695,0.0,0.0,1.0,-0.00044086843,0.13360818,0.0,-0.66228205,0.33437687,-0.0003586455,0.0038989396,0.0,-0.023809524,0.0034246575,9.57,20.833271,0.0,0.0,90.0,0.39,1.1304424,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423.22,130.7514,500.0,85.0,500.0,468.46,106.00117,500.0,36.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.19095264,0.047927078,0.20397642,0.014966722,0.26851833,0.0028135364,0.0003024694,0.002773751,0.0020454035,0.004000946,0.19097091,0.050073203,0.20417435,0.038228434,0.272184,-1.8293977e-05,0.018611865,0.0044521885,-0.08618325,0.022250103,-5.01467e-05,0.023062257,-0.0055942633,-0.023322815,0.14000075,0.00021927778,0.01952109,-0.0044528944,-0.022250105,0.09850811,0.0009966132,0.0045509115,5.4503304e-05,1.1886405e-06,0.042727247,-0.0012660375,4.4820204e-05,-0.0012588718,-0.0013250173,-0.0012042287,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.070064604,0.08895678,0.035378512,0.0017770246,0.61257476,1.2660375,0.044820204,1.2588717,1.2042286,1.3250172,3.550425,0.15917978,3.5214996,3.334188,3.7622502,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
