Diagnostics/NewCompletedTrajs,Diagnostics/StepsInTrajWindow,Diagnostics/Iteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumCompletedTrajs,Diagnostics/CumUpdates,Diagnostics/StepsPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,Length/Average,Length/Std,Length/Median,Length/Min,Length/Max,EpExtrinsicReward/Average,EpExtrinsicReward/Std,EpExtrinsicReward/Median,EpExtrinsicReward/Min,EpExtrinsicReward/Max,EpNonzeroExtrinsicRewards/Average,EpNonzeroExtrinsicRewards/Std,EpNonzeroExtrinsicRewards/Median,EpNonzeroExtrinsicRewards/Min,EpNonzeroExtrinsicRewards/Max,EpDiscountedExtrinsicReward/Average,EpDiscountedExtrinsicReward/Std,EpDiscountedExtrinsicReward/Median,EpDiscountedExtrinsicReward/Min,EpDiscountedExtrinsicReward/Max,EpAveExtrinsicReward/Average,EpAveExtrinsicReward/Std,EpAveExtrinsicReward/Median,EpAveExtrinsicReward/Min,EpAveExtrinsicReward/Max,GameScore/Average,GameScore/Std,GameScore/Median,GameScore/Min,GameScore/Max,return_/Average,return_/Std,return_/Median,return_/Min,return_/Max,intrinsic_rewards/Average,intrinsic_rewards/Std,intrinsic_rewards/Median,intrinsic_rewards/Min,intrinsic_rewards/Max,valpred/Average,valpred/Std,valpred/Median,valpred/Min,valpred/Max,advantage/Average,advantage/Std,advantage/Median,advantage/Min,advantage/Max,loss/Average,loss/Std,loss/Median,loss/Min,loss/Max,pi_loss/Average,pi_loss/Std,pi_loss/Median,pi_loss/Min,pi_loss/Max,value_loss/Average,value_loss/Std,value_loss/Median,value_loss/Min,value_loss/Max,entropy_loss/Average,entropy_loss/Std,entropy_loss/Median,entropy_loss/Min,entropy_loss/Max,inv_loss/Average,inv_loss/Std,inv_loss/Median,inv_loss/Min,inv_loss/Max,forward_loss/Average,forward_loss/Std,forward_loss/Median,forward_loss/Min,forward_loss/Max,reward_total_std/Average,reward_total_std/Std,reward_total_std/Median,reward_total_std/Min,reward_total_std/Max,curiosity_loss/Average,curiosity_loss/Std,curiosity_loss/Median,curiosity_loss/Min,curiosity_loss/Max,gradNorm/Average,gradNorm/Std,gradNorm/Median,gradNorm/Min,gradNorm/Max,entropy/Average,entropy/Std,entropy/Median,entropy/Min,entropy/Max,perplexity/Average,perplexity/Std,perplexity/Median,perplexity/Min,perplexity/Max
3,5362,124,15.149659633636475,10000,3,375,660.0808362583413,24.753031359687796,3.0,3.0,1787.3334,480.61166,2108.0,1108.0,2146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8378224,3.9038317,2.8069737,0.45950022,16.946087,0.103020474,0.28463367,0.02573005,0.002358401,1.915664,4.4689546,3.3745277,2.5742507,-0.11159678,10.032774,0.36886773,2.1770484,-0.06305341,-2.3207285,14.744716,4.658836,12.885449,2.2906668,1.7413878,117.09409,-0.3611754,2.1998553,0.06305341,-14.8521805,2.5357552,2.8446329,14.827263,0.0132808685,7.768322e-05,129.11998,-0.0026595448,0.00019752533,-0.0027604834,-0.0028811577,-0.002064936,2.1586392,0.16332424,2.2141476,1.6970923,2.4371707,0.019398643,0.052413356,0.004967989,0.0004716802,0.3831328,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12.822904,37.6904,2.574869,0.27857262,337.9496,2.6595447,0.19752531,2.7604833,2.064936,2.8811576,14.552643,2.5369735,15.812096,7.89638,17.834957
4,15966,249,30.256930112838745,20000,7,750,661.9329424045662,24.822485340171234,3.0,3.0,2280.8572,1015.4898,2108.0,1108.0,4605.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09571674,0.13036945,0.102492645,-0.17742553,0.4265152,0.0013369526,0.0010726503,0.00097580085,0.0002689577,0.005312168,0.09529605,0.13534977,0.107459545,-0.19344124,0.4459065,0.0004206823,0.0079895435,-2.921453e-05,-0.027387401,0.019146182,2.2713559,0.03171413,2.275596,2.1685016,2.359837,-0.00028398354,0.008463887,2.7397007e-05,-0.023237102,0.033190034,0.00020268038,0.00045505742,2.3707089e-05,1.2614333e-07,0.0033669253,-0.0028305452,9.467263e-06,-0.0028309198,-0.0028441697,-0.0027948786,2.27402,0.02971482,2.279676,2.1850498,2.36186,0.00024758684,0.00019404551,0.00017948901,5.379154e-05,0.0008565541,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4772181,0.18188259,0.45338857,0.22228178,1.6902882,2.830545,0.00946726,2.8309197,2.7948785,2.8441696,16.955904,0.15938276,16.961191,16.36104,17.187405
3,23661,374,45.387691259384155,30000,10,1125,660.9052844828733,24.78394816810775,3.0,3.0,2366.1,1032.1317,2049.5,1108.0,4605.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03316123,0.025823228,0.037704796,-0.060016375,0.07167379,0.0005602902,0.00031570677,0.00045879316,0.00019115639,0.0018372269,0.03186221,0.027682994,0.037773147,-0.06758057,0.069110885,0.0012990196,0.0035201432,0.0004655906,-0.007940473,0.016941847,2.2726247,0.03391683,2.2752821,2.1224992,2.3579812,-0.0012930895,0.0037015895,-0.00046690172,-0.01946809,0.007940473,4.303646e-05,9.316887e-05,1.3997416e-05,5.078456e-07,0.00078303507,-0.0028388537,1.3918773e-05,-0.002842716,-0.002853705,-0.0027910878,2.2766087,0.03340889,2.2802863,2.1305828,2.364149,0.000104728,5.2326264e-05,9.013038e-05,3.7898684e-05,0.000302379,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3985039,0.16241398,0.35897565,0.16245249,1.3012011,2.8388538,0.013918766,2.8427157,2.7910876,2.853705,17.098303,0.23565583,17.162392,16.300045,17.351978
4,31196,499,60.47397065162659,40000,14,1500,662.8539575597503,24.857023408490637,3.0,3.0,2228.2856,966.5907,1931.5,1108.0,4605.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044943914,0.051352933,0.027237257,-0.0074767903,0.21108389,0.0005856465,0.0014055693,0.00023135655,6.6910245e-05,0.010862826,0.045024335,0.052192673,0.02844801,-0.008898137,0.22236805,-8.042093e-05,0.010578072,-0.00073634356,-0.03240692,0.07009768,2.2782483,0.028622216,2.281545,2.196442,2.3466341,0.00020548652,0.010757521,0.00093246985,-0.07121573,0.034662873,0.00027503894,0.0015325472,2.092278e-06,1.4189641e-07,0.013387519,-0.0028447907,1.1523735e-05,-0.0028431928,-0.0028652945,-0.002827411,2.2805054,0.027748642,2.28323,2.1975415,2.349963,0.000107101914,0.00027644748,4.2004525e-05,1.3138094e-05,0.002395114,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3880565,0.16340086,0.36202344,0.16307688,1.966442,2.8447907,0.011523728,2.8431926,2.827411,2.8652942,17.199148,0.19832808,17.170519,16.90167,17.554237
6,44357,624,78.42591142654419,50000,20,1875,557.0428359462933,20.889106347986,3.0,3.0,2217.85,1264.0135,1839.5,895.0,6055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014847977,0.016311187,0.012973691,-0.031603232,0.06366891,0.00030099245,0.0003330853,0.0001920044,6.34752e-05,0.0021129008,0.014160219,0.01652468,0.012956617,-0.03499464,0.054902025,0.0006877597,0.002550726,0.00036188593,-0.007927169,0.013396934,2.2879941,0.023980498,2.2902453,2.2021604,2.3449736,-0.000671793,0.0025859377,-0.00036201894,-0.013414986,0.008037951,7.2184057e-06,1.8652558e-05,9.4780705e-07,5.0181836e-08,0.00014249109,-0.0028603545,5.1545626e-06,-0.0028605582,-0.0028689215,-0.0028505647,2.2914608,0.023798205,2.2930183,2.2083771,2.3457036,5.828883e-05,6.977123e-05,3.6257974e-05,1.2570301e-05,0.0004983132,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.32802135,0.10438091,0.3112477,0.1619204,0.84156144,2.8603544,0.0051545654,2.860558,2.8505645,2.8689213,17.46796,0.09001738,17.471254,17.297693,17.618008
5,55532,749,105.27798175811768,60000,25,2250,372.41076298842006,13.965403612065753,3.0,3.0,2221.28,1161.9929,1872.0,895.0,6055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08957604,0.08474857,0.05485701,0.003995237,0.3383005,0.0011764313,0.0016804712,0.0006683345,4.9344817e-05,0.0121850455,0.08879371,0.085620195,0.054939907,0.0036305045,0.34661832,0.0007823293,0.012916556,-0.0004014282,-0.059580855,0.07382353,2.294576,0.022533242,2.297541,2.191212,2.3808177,-0.000622673,0.01326736,0.00040143944,-0.07402476,0.06034932,0.00016226873,0.00059062534,6.5738304e-06,1.665138e-08,0.005275023,-0.002871168,5.536356e-06,-0.0028740754,-0.0028766429,-0.002852821,2.2976735,0.018936807,2.2995152,2.203034,2.342924,0.00023376544,0.00033185526,0.0001336669,9.761313e-06,0.002437009,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.34638053,0.22112797,0.27325812,0.1466927,1.6106774,2.8711684,0.005536362,2.8740754,2.8528209,2.8766427,17.65791,0.09739313,17.709057,17.336742,17.754566
3,61714,874,134.3917682170868,70000,28,2625,343.4798841467524,12.880495655503214,3.0,3.0,2204.0715,1112.8776,1872.5,895.0,6055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057076752,0.060458485,0.03246766,-0.0029057064,0.20368847,0.00059627026,0.0010191619,0.00028366983,7.869261e-05,0.008632046,0.057959545,0.062403824,0.032260034,-0.0040678615,0.20960326,-0.00088278623,0.008280945,-0.00051517703,-0.030074898,0.061751675,2.287373,0.023459677,2.2885954,2.208616,2.363356,0.0009287167,0.008333345,0.0005152348,-0.06226484,0.0300749,5.883515e-05,0.00024408016,1.9622184e-06,4.6157913e-09,0.0022816737,-0.0028515095,7.713598e-06,-0.0028518816,-0.002863455,-0.0028368002,2.2891228,0.02186918,2.290243,2.226231,2.365668,0.000114182585,0.0001928756,5.377277e-05,1.5738522e-05,0.0017597895,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.35505188,0.16595493,0.31264883,0.1561364,1.1582698,2.851509,0.0077135977,2.8518815,2.8368,2.863455,17.31443,0.13335864,17.320347,17.061096,17.521954
3,70675,999,163.68400049209595,80000,31,3000,341.3874335733559,12.802028759000846,3.0,3.0,2279.8386,1136.7252,1873.0,895.0,6055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014550898,0.012325877,0.010564975,-0.0037977758,0.047016017,0.00015866532,0.00016336174,0.00010131278,2.9619889e-05,0.0009748944,0.014649128,0.012472911,0.010770933,-0.0044512223,0.04893829,-9.822793e-05,0.0010120305,-0.000114624025,-0.0036351546,0.0051015234,2.2885606,0.02173597,2.2890058,2.214057,2.3534782,0.00012053294,0.001063702,0.00015171051,-0.005103678,0.0045702965,2.271476e-06,8.642855e-06,2.9956513e-07,4.118739e-09,7.1411334e-05,-0.0028614616,1.0150778e-05,-0.0028636237,-0.002875002,-0.0028408256,2.2912683,0.021872636,2.2923346,2.2166195,2.3565533,3.091405e-05,3.23213e-05,1.940581e-05,5.923977e-06,0.00019622326,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.26772583,0.08833778,0.24031349,0.14541996,0.8214505,2.8614612,0.0101507725,2.8636236,2.8408256,2.875002,17.487968,0.17707884,17.524906,17.129902,17.725473
6,85570,1124,193.0683240890503,90000,37,3375,340.3175154604032,12.761906829765119,3.0,3.0,2312.7026,1205.7201,1873.0,895.0,6055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023171341,0.021157663,0.013531342,0.0005385732,0.10643488,0.00034988276,0.0004513391,0.00021257243,3.9135797e-05,0.002740608,0.022784859,0.021283295,0.012893994,-0.0015651915,0.10689567,0.00038648263,0.0036939357,0.00011841192,-0.024505025,0.016861005,2.304642,0.01124938,2.3046315,2.277531,2.3347104,-0.00028737844,0.0043125157,-0.00011843104,-0.016882133,0.03465989,2.0456151e-05,0.0001341132,1.1364568e-06,1.5784378e-08,0.0016142667,-0.0028765681,4.840585e-06,-0.0028786822,-0.0028816713,-0.0028670398,2.307716,0.011203788,2.3075733,2.2787778,2.340089,6.938381e-05,8.845097e-05,4.251448e-05,6.8006775e-06,0.00054812164,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.23708893,0.10421421,0.20938882,0.12044929,1.0269353,2.876568,0.0048405826,2.8786821,2.8670397,2.8816712,17.753452,0.08576928,17.79082,17.584866,17.844069
2,89048,1249,222.47077989578247,100000,39,3750,340.1076449440776,12.75403668540291,3.0,3.0,2283.282,1192.928,1873.0,895.0,6055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01801132,0.008261608,0.016728666,0.0066550523,0.041454744,0.00019992821,0.00014549441,0.00016222053,5.3550066e-05,0.0008515019,0.0181661,0.008355068,0.01700377,0.0067234226,0.041093204,-0.00015477778,0.0010223656,-0.00014938801,-0.006690136,0.0029703206,2.3019397,0.012396799,2.3018265,2.2688255,2.3577263,0.00017755167,0.0010758059,0.00014936985,-0.0029736569,0.0068885484,3.855643e-06,1.4834669e-05,2.595935e-07,8.583588e-09,0.000111303256,-0.0028740622,4.6335444e-06,-0.0028751234,-0.0028809921,-0.0028659804,2.3045938,0.012382077,2.3043764,2.2714906,2.3607044,3.865275e-05,2.8067732e-05,3.120196e-05,1.0625904e-05,0.00017972526,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.25746486,0.08955748,0.23691799,0.14348778,0.74806565,2.8740618,0.0046335473,2.8751233,2.8659801,2.880992,17.708994,0.082009695,17.72762,17.566246,17.831947
