Diagnostics/NewCompletedTrajs,Diagnostics/StepsInTrajWindow,Diagnostics/Iteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumCompletedTrajs,Diagnostics/CumUpdates,Diagnostics/StepsPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,Length/Average,Length/Std,Length/Median,Length/Min,Length/Max,EpExtrinsicReward/Average,EpExtrinsicReward/Std,EpExtrinsicReward/Median,EpExtrinsicReward/Min,EpExtrinsicReward/Max,EpNonzeroExtrinsicRewards/Average,EpNonzeroExtrinsicRewards/Std,EpNonzeroExtrinsicRewards/Median,EpNonzeroExtrinsicRewards/Min,EpNonzeroExtrinsicRewards/Max,EpDiscountedExtrinsicReward/Average,EpDiscountedExtrinsicReward/Std,EpDiscountedExtrinsicReward/Median,EpDiscountedExtrinsicReward/Min,EpDiscountedExtrinsicReward/Max,EpAveExtrinsicReward/Average,EpAveExtrinsicReward/Std,EpAveExtrinsicReward/Median,EpAveExtrinsicReward/Min,EpAveExtrinsicReward/Max,GameScore/Average,GameScore/Std,GameScore/Median,GameScore/Min,GameScore/Max,return_/Average,return_/Std,return_/Median,return_/Min,return_/Max,intrinsic_rewards/Average,intrinsic_rewards/Std,intrinsic_rewards/Median,intrinsic_rewards/Min,intrinsic_rewards/Max,valpred/Average,valpred/Std,valpred/Median,valpred/Min,valpred/Max,advantage/Average,advantage/Std,advantage/Median,advantage/Min,advantage/Max,loss/Average,loss/Std,loss/Median,loss/Min,loss/Max,pi_loss/Average,pi_loss/Std,pi_loss/Median,pi_loss/Min,pi_loss/Max,value_loss/Average,value_loss/Std,value_loss/Median,value_loss/Min,value_loss/Max,entropy_loss/Average,entropy_loss/Std,entropy_loss/Median,entropy_loss/Min,entropy_loss/Max,inv_loss/Average,inv_loss/Std,inv_loss/Median,inv_loss/Min,inv_loss/Max,forward_loss/Average,forward_loss/Std,forward_loss/Median,forward_loss/Min,forward_loss/Max,reward_total_std/Average,reward_total_std/Std,reward_total_std/Median,reward_total_std/Min,reward_total_std/Max,curiosity_loss/Average,curiosity_loss/Std,curiosity_loss/Median,curiosity_loss/Min,curiosity_loss/Max,gradNorm/Average,gradNorm/Std,gradNorm/Median,gradNorm/Min,gradNorm/Max,entropy/Average,entropy/Std,entropy/Median,entropy/Min,entropy/Max,perplexity/Average,perplexity/Std,perplexity/Median,perplexity/Min,perplexity/Max,rand_dummy_logging/Average,rand_dummy_logging/Std,rand_dummy_logging/Median,rand_dummy_logging/Min,rand_dummy_logging/Max,art_num_classes/Average,art_num_classes/Std,art_num_classes/Median,art_num_classes/Min,art_num_classes/Max,kohonen_dw/Average,kohonen_dw/Std,kohonen_dw/Median,kohonen_dw/Min,kohonen_dw/Max
3,4642,124,18.02139663696289,10000,3,375,554.8959496007897,20.80859811002961,3.0,3.0,1547.3334,220.71751,1523.0,1290.0,1829.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1222677,0.7185022,4.267279,0.50405335,4.94294,0.052174784,0.013835672,0.050048154,0.033370633,0.1118034,4.1122236,0.78418374,4.2123966,-0.3319307,4.9505625,0.010044468,0.22614455,0.021158218,-0.94533664,0.83598393,0.12980144,0.5365276,-0.008013429,-0.77957726,3.2981586,-0.0024954681,0.24846025,-0.021223223,-0.8482569,1.1308305,0.13503751,0.32206497,0.01346759,0.00010029755,2.1702697,-0.0027406083,3.954919e-05,-0.0027337614,-0.0028670717,-0.0026786297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.9022653,3.184755,0.6886546,0.036037955,22.377108,2.740608,0.039549187,2.7337613,2.6786296,2.8670716,15.509709,0.63435805,15.394983,14.565317,17.585697,nan,nan,nan,nan,nan,5.272,2.326804,5.0,1.0,9.0,nan,nan,nan,nan,nan
3,13528,249,38.14335894584656,20000,6,750,496.9694230857936,18.636353365717262,3.0,3.0,2254.6667,1189.8693,1676.0,1113.0,4217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.075633,0.3914812,4.1732435,2.6131313,4.810809,0.04356911,0.010446038,0.041007087,0.028456498,0.08051562,4.0897355,0.3683289,4.155116,3.1463087,4.8193,-0.014102441,0.119283386,-0.023158517,-0.596834,0.28045008,0.0778994,0.3279103,0.020868115,-0.17477842,2.2883074,0.018634386,0.13692738,0.023124589,-0.2837103,0.7890625,0.061973836,0.20822841,0.0034417256,0.00012935618,1.5020211,-0.002708827,5.165773e-05,-0.0026927555,-0.0027945177,-0.0026055218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.93258023,1.5429002,0.47451168,0.036894765,12.197715,2.7088268,0.05165773,2.6927555,2.6055217,2.7945175,15.032315,0.7809702,14.772547,13.539485,16.355122,nan,nan,nan,nan,nan,11.624,1.4292041,11.0,9.0,14.0,nan,nan,nan,nan,nan
4,25697,374,61.57923221588135,30000,10,1125,426.69628243749054,16.001110591405897,3.0,3.0,2569.7,1275.2006,1912.5,1113.0,4520.0,0.2,0.59999996,0.0,0.0,2.0,0.2,0.59999996,0.0,0.0,2.0,1.5928448e-18,4.7785343e-18,0.0,0.0,1.5928448e-17,4.960318e-05,0.00014880954,0.0,0.0,0.0004960318,30.0,90.0,0.0,0.0,300.0,4.3732643,0.4251362,4.3605046,2.930798,5.65899,0.050447613,0.0140398,0.046862908,0.033162866,0.10865891,4.3949704,0.36470598,4.3676233,3.2061067,5.614276,-0.021706596,0.18301024,-0.010244552,-0.9938143,0.3161905,0.15221323,0.6091856,0.013679285,-0.22394606,4.828983,0.030668361,0.21379028,0.010215307,-0.3192051,1.241411,0.12424271,0.41358158,0.0045808135,0.00024513662,3.5901608,-0.0026978292,6.342705e-05,-0.0027176186,-0.0027810165,-0.0024974274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.4693955,2.8501837,0.53597033,0.061014395,21.886766,2.6978292,0.063427046,2.7176185,2.4974272,2.7810163,14.881414,0.89713776,15.145317,12.172051,16.135994,nan,nan,nan,nan,nan,18.632,2.642835,18.0,14.0,23.0,nan,nan,nan,nan,nan
2,31073,499,87.17782974243164,40000,12,1500,390.6464012189818,14.649240045711815,3.0,3.0,2589.4167,1165.4945,2297.5,1113.0,4520.0,0.16666667,0.5527708,0.0,0.0,2.0,0.16666667,0.5527708,0.0,0.0,2.0,1.3273706e-18,4.4023905e-18,0.0,0.0,1.5928448e-17,4.133598e-05,0.00013709594,0.0,0.0,0.0004960318,25.0,82.91562,0.0,0.0,300.0,4.1610017,0.35356802,4.2411723,2.723955,4.6642265,0.04712737,0.012572385,0.044782363,0.029826362,0.08521092,4.176008,0.29840264,4.2129354,3.1451292,4.6792192,-0.015007103,0.16571657,-0.004083091,-0.7821797,0.28873295,0.103053704,0.42311835,0.0055239424,-0.23504579,2.9107215,0.020507688,0.18319967,0.004084779,-0.28873295,1.0475206,0.08503259,0.25617248,0.0038602944,0.00014538415,1.8699437,-0.0024865693,0.00011978005,-0.0024737783,-0.0027752295,-0.002282455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.3865589,2.080225,0.6191352,0.036963597,15.988775,2.4865692,0.11978004,2.4737782,2.282455,2.7752295,12.11049,1.5190696,11.867751,9.802126,16.042755,nan,nan,nan,nan,nan,25.664,1.9097394,26.0,23.0,29.0,nan,nan,nan,nan,nan
6,44765,624,115.34005737304688,50000,18,1875,355.0855468950536,13.31570800856451,3.0,3.0,2486.9443,1183.4423,2105.5,1113.0,4520.0,0.11111111,0.45812285,0.0,0.0,2.0,0.11111111,0.45812285,0.0,0.0,2.0,8.849138e-19,3.6485928e-18,0.0,0.0,1.5928448e-17,2.755732e-05,0.00011362174,0.0,0.0,0.0004960318,16.666666,68.71843,0.0,0.0,300.0,4.050069,0.3210969,4.129407,3.0383906,4.559815,0.04760861,0.012528249,0.04382532,0.032351814,0.09109601,4.079492,0.2640852,4.116048,3.0734797,4.5650306,-0.029422948,0.16444132,-0.005215302,-0.6315145,0.3513554,0.14039597,0.39696336,0.0065420493,-0.20603633,1.474889,0.03491774,0.17439777,0.005206992,-0.35265803,0.63151455,0.10761348,0.23927349,0.004087431,4.6314075e-05,0.8551604,-0.0021352565,0.00015200561,-0.002166687,-0.002378934,-0.0017857224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.3400044,1.9583201,0.49706846,0.02879941,8.516017,2.1352565,0.1520056,2.166687,1.7857224,2.378934,8.557698,1.2526861,8.729325,5.9640355,10.794501,nan,nan,nan,nan,nan,32.688,1.9325259,33.0,29.0,36.0,nan,nan,nan,nan,nan
6,55642,749,146.5256702899933,60000,24,2250,320.6606849970216,12.024775687388308,3.0,3.0,2318.4167,1108.9612,1912.5,1113.0,4520.0,0.083333336,0.3996526,0.0,0.0,2.0,0.083333336,0.3996526,0.0,0.0,2.0,6.636853e-19,3.1829232e-18,0.0,0.0,1.5928448e-17,2.066799e-05,9.9120196e-05,0.0,0.0,0.0004960318,12.5,59.947895,0.0,0.0,300.0,4.3390193,0.5920692,4.231431,2.109519,5.6942997,0.05203207,0.015254975,0.047487568,0.033487417,0.09715569,4.36027,0.53454316,4.235912,2.3195672,5.624832,-0.021251444,0.17793505,-0.0058729216,-0.7484881,0.37836322,0.1777343,0.5028127,0.009470872,-0.22840364,2.611599,0.031457093,0.19864659,0.0063408623,-0.38662523,0.9673923,0.14787556,0.33243072,0.003937402,7.219026e-05,1.6519196,-0.001598376,0.00017243312,-0.00161641,-0.0018719648,-0.0013209385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.5789614,2.3080568,0.47411984,0.026789067,12.999472,1.5983762,0.17243311,1.6164099,1.3209383,1.8719647,5.0314107,0.849326,5.045295,3.747025,6.513028,nan,nan,nan,nan,nan,40.2,2.7799282,40.0,36.0,45.0,nan,nan,nan,nan,nan
3,61176,874,180.68654942512512,70000,27,2625,292.7325131312493,10.977469242421849,3.0,3.0,2265.7778,1070.0875,1996.0,1113.0,4520.0,0.074074075,0.37770516,0.0,0.0,2.0,0.074074075,0.37770516,0.0,0.0,2.0,5.899425e-19,3.0081285e-18,0.0,0.0,1.5928448e-17,1.8371547e-05,9.367687e-05,0.0,0.0,0.0004960318,11.111111,56.655766,0.0,0.0,300.0,4.763282,0.5914652,4.7288647,3.1333508,5.8657017,0.05359268,0.015461968,0.050389063,0.032928392,0.10050379,4.7628083,0.5492033,4.7609215,3.1789887,5.6545415,0.00047258908,0.18087165,-0.015271517,-1.0033466,0.4994456,0.1376735,0.49353746,0.019027947,-0.22503643,3.9732397,0.004027192,0.19112131,0.015000651,-0.5044337,1.0600665,0.13581236,0.3692879,0.0043251584,0.0001067628,2.9316883,-0.002166051,0.00013385393,-0.0021855782,-0.0023691456,-0.0016478678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.6567396,2.4006174,0.6271449,0.038660243,17.8954,2.166051,0.13385391,2.185578,1.6478678,2.3691456,8.823762,1.0798378,8.948349,5.2028856,10.688561,nan,nan,nan,nan,nan,49.848,3.064783,50.0,45.0,54.0,nan,nan,nan,nan,nan
3,71996,999,215.10269284248352,80000,30,3000,290.56131823754316,10.89604943390787,3.0,3.0,2399.8667,1108.539,2131.5,1113.0,4520.0,0.06666667,0.35901093,0.0,0.0,2.0,0.06666667,0.35901093,0.0,0.0,2.0,5.3094826e-19,2.859244e-18,0.0,0.0,1.5928448e-17,1.6534392e-05,8.904043e-05,0.0,0.0,0.0004960318,10.0,53.851646,0.0,0.0,300.0,4.090736,0.45773008,4.1271935,2.7254071,5.228816,0.047254413,0.012619847,0.04407999,0.030541707,0.09597177,4.085245,0.41078955,4.0927553,2.9195962,5.11648,0.005491046,0.15506297,0.004172718,-0.8501266,0.4310847,0.08523291,0.4013003,0.003658571,-0.28079492,2.789811,-0.0014785824,0.17041737,-0.0043343557,-0.4331523,1.030002,0.08907601,0.27260616,0.0038777243,0.00019285522,1.8443602,-0.0023645104,0.00010919432,-0.002381452,-0.002508381,-0.0020922578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.3168687,2.1333,0.48704726,0.039079525,14.15724,2.3645103,0.10919432,2.3814518,2.0922577,2.508381,10.70875,1.0940077,10.834884,8.105544,12.289473,nan,nan,nan,nan,nan,57.696,2.16231,58.0,54.0,61.0,nan,nan,nan,nan,nan
5,85908,1124,253.3844654560089,90000,35,3375,261.22092362219627,9.795784635832359,3.0,3.0,2454.5144,1233.9429,2215.0,1093.0,6063.0,0.057142857,0.33319727,0.0,0.0,2.0,0.057142857,0.33319727,0.0,0.0,2.0,4.550985e-19,2.6536574e-18,0.0,0.0,1.5928448e-17,1.4172337e-05,8.263821e-05,0.0,0.0,0.0004960318,8.571428,49.979584,0.0,0.0,300.0,4.295737,0.6236534,4.1996384,3.0407033,5.499105,0.05145761,0.012503041,0.048801605,0.03148464,0.09551897,4.30427,0.577712,4.2649736,3.1621032,5.463903,-0.008532914,0.22405492,0.011422569,-1.6472145,0.35383278,0.15020451,0.6673858,-0.0034824796,-0.25586167,6.1831284,0.014169219,0.24155049,-0.0075847087,-0.35932115,1.8378873,0.13836847,0.44948968,0.006912665,0.0002035643,4.3475857,-0.0023331814,8.430802e-05,-0.0023325018,-0.0025125593,-0.002079516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.8923877,3.5010326,0.73325956,0.056012355,29.461445,2.3331814,0.08430802,2.3325016,2.079516,2.5125592,10.3700485,0.8666034,10.303844,8.003313,12.402588,nan,nan,nan,nan,nan,64.944,2.3023603,65.0,61.0,69.0,nan,nan,nan,nan,nan
4,93933,1249,293.15913558006287,100000,39,3750,251.41629003611632,9.428110876354362,3.0,3.0,2408.5386,1199.8097,2243.0,776.0,6063.0,0.051282052,0.31612375,0.0,0.0,2.0,0.051282052,0.31612375,0.0,0.0,2.0,4.0842175e-19,2.5176812e-18,0.0,0.0,1.5928448e-17,1.2718763e-05,7.840373e-05,0.0,0.0,0.0004960318,7.6923075,47.41857,0.0,0.0,300.0,4.2043915,0.61969227,4.182647,2.8895006,5.65568,0.050077636,0.013686943,0.047631614,0.030659694,0.10648213,4.2199616,0.5788604,4.156649,2.798707,5.5984697,-0.015570446,0.18979283,-0.01273334,-0.77753705,0.6864436,0.15614232,0.49376997,0.018112935,-0.21498239,2.8555033,0.02158179,0.20185772,0.012683161,-0.69295746,0.8465742,0.13710462,0.3417719,0.008760247,0.00022850538,2.3912568,-0.0025440706,8.9464396e-05,-0.0025678829,-0.0027000008,-0.002266578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.8022331,2.479731,0.81985843,0.059529725,13.42381,2.5440702,0.08946439,2.5678828,2.2665777,2.7000005,12.8044195,1.0875089,13.04559,9.649725,14.891745,nan,nan,nan,nan,nan,72.728,2.2427695,73.0,69.0,77.0,nan,nan,nan,nan,nan
