pi_loss/Min,EpExtrinsicReward/Median,forward_loss/Std,reward_total_std/Max,entropy/Max,art_num_classes/Max,gradNorm/Max,EpNonzeroExtrinsicRewards/Std,curiosity_loss/Median,inv_loss/Min,rand_dummy_logging/Max,curiosity_loss/Average,loss/Median,GameScore/Average,Length/Min,art_num_classes/Median,forward_loss/Min,Diagnostics/StepsPerSecond,rand_dummy_logging/Median,kohonen_dw/Max,EpExtrinsicReward/Average,perplexity/Std,Length/Median,kohonen_dw/Std,perplexity/Average,reward_total_std/Median,EpAveExtrinsicReward/Std,intrinsic_rewards/Median,entropy_loss/Std,intrinsic_rewards/Max,EpNonzeroExtrinsicRewards/Max,Diagnostics/CumTime (s),Diagnostics/UpdatesPerSecond,Diagnostics/NewCompletedTrajs,entropy/Std,entropy_loss/Min,gradNorm/Std,value_loss/Std,Length/Std,EpDiscountedExtrinsicReward/Std,advantage/Std,intrinsic_rewards/Min,pi_loss/Max,entropy_loss/Median,GameScore/Min,forward_loss/Max,kohonen_dw/Average,Length/Max,inv_loss/Median,Length/Average,EpNonzeroExtrinsicRewards/Average,reward_total_std/Min,kohonen_dw/Median,EpDiscountedExtrinsicReward/Median,valpred/Median,EpDiscountedExtrinsicReward/Average,GameScore/Median,value_loss/Max,entropy/Average,pi_loss/Average,valpred/Average,valpred/Std,entropy_loss/Max,EpAveExtrinsicReward/Average,loss/Std,Diagnostics/CumCompletedTrajs,EpAveExtrinsicReward/Max,Diagnostics/CumUpdates,Diagnostics/Iteration,pi_loss/Std,value_loss/Median,Diagnostics/ReplayRatio,intrinsic_rewards/Std,art_num_classes/Average,return_/Average,gradNorm/Average,Diagnostics/StepsInTrajWindow,EpAveExtrinsicReward/Min,advantage/Median,intrinsic_rewards/Average,loss/Max,EpExtrinsicReward/Std,art_num_classes/Min,GameScore/Std,return_/Max,valpred/Min,gradNorm/Min,value_loss/Min,pi_loss/Median,entropy_loss/Average,entropy/Median,gradNorm/Median,Diagnostics/CumReplayRatio,curiosity_loss/Min,kohonen_dw/Min,EpExtrinsicReward/Min,return_/Min,Diagnostics/CumSteps,advantage/Max,EpAveExtrinsicReward/Median,return_/Std,rand_dummy_logging/Std,forward_loss/Average,EpNonzeroExtrinsicRewards/Median,forward_loss/Median,curiosity_loss/Std,EpNonzeroExtrinsicRewards/Min,art_num_classes/Std,rand_dummy_logging/Min,GameScore/Max,reward_total_std/Average,perplexity/Max,advantage/Min,value_loss/Average,entropy/Min,EpExtrinsicReward/Max,rand_dummy_logging/Average,EpDiscountedExtrinsicReward/Min,reward_total_std/Std,inv_loss/Std,EpDiscountedExtrinsicReward/Max,advantage/Average,return_/Median,curiosity_loss/Max,perplexity/Min,valpred/Max,inv_loss/Max,perplexity/Median,loss/Average,loss/Min,inv_loss/Average
-2.0188036,nan,0.0,nan,2.8740582,nan,44.69278,nan,nan,0.0,nan,nan,-0.006608681,nan,nan,nan,0.0,368.2792061406537,nan,nan,nan,1.7639612,nan,nan,14.398959,nan,nan,0.06017856,0.00012578309,0.27314115,nan,27.153311491012573,13.810470230274513,0,0.12578309,-0.0028740584,3.5308123,0.3752438,nan,nan,0.24732074,0.033381958,0.85779434,-0.0027096353,nan,0.0,nan,nan,0.0,nan,nan,nan,nan,nan,5.6960034,nan,nan,2.4113936,2.6592872,-0.015248502,5.6470766,0.8750376,-0.0024060707,nan,0.50781596,0,nan,375,124,0.25912532,0.00426605,3.0,0.02351028,nan,5.6670895,1.6257614,0,nan,0.015050192,0.06398118,2.884189,nan,nan,nan,6.730288,-0.20437706,0.049553532,0.00041861483,-0.015137859,-0.0026592875,2.7096353,0.5928948,3.0,nan,nan,nan,1.7861052,10000,1.9904821,nan,0.74457425,nan,0.0,nan,0.0,nan,nan,nan,nan,nan,nan,17.708796,-0.8298631,0.11224602,2.4060707,nan,nan,nan,nan,0.0,nan,0.02001348,5.6811686,nan,11.090755,6.7080283,0.0,15.024135,0.09433822,-1.3336028,0.0
-0.18241362,0.0,0.0,nan,2.6377246,nan,13.277009,0.0,nan,0.0,nan,nan,0.010446049,0.0,3491.0,nan,0.0,287.95992986782176,nan,nan,0.0,0.536531,4063.0,nan,12.704044,nan,0.0,0.055338167,4.269401e-05,0.10909853,0.0,61.8803653717041,10.798497370043316,2,0.042694006,-0.0026377249,2.12561,0.2893985,572.0,0.0,0.13985568,0.032272372,0.82196504,-0.002544239,0.0,0.0,nan,4635.0,0.0,4063.0,0.0,nan,nan,0.0,5.475011,0.0,0.0,1.6097136,2.5409293,0.031976238,5.396853,0.34998488,-0.0024178254,0.0,0.428276,2,0.0,750,249,0.14924644,0.0041073137,3.0,0.010454642,nan,5.368202,1.0833473,8126,0.0,-0.007923144,0.056051604,2.316399,0.0,nan,0.0,6.05359,3.9615827,0.0558549,0.000503271,0.00826365,-0.0025409292,2.5442388,0.47646526,3.0,nan,nan,0.0,3.7925735,20000,0.17950173,0.0,0.3927529,nan,0.0,0.0,0.0,nan,0.0,nan,nan,0.0,nan,13.981361,-0.82196504,0.07984186,2.4178252,0.0,nan,0.0,nan,0.0,0.0,-0.02865184,5.472279,nan,11.228849,6.0484457,0.0,12.733969,0.109277174,-0.13868295,0.0
-0.28860104,0.0,0.0,nan,2.5457687,nan,15.18977,0.0,nan,0.0,nan,nan,0.0027524072,0.0,2709.0,nan,0.0,295.92334670493835,nan,nan,0.0,2.9000804,4635.0,nan,8.451171,nan,0.0,0.05416752,0.0004077783,0.12590069,0.0,95.67290019989014,11.097125501435187,3,0.4077783,-0.0025457689,2.5754874,0.32223493,1327.6919,0.0,0.16121401,0.03536023,0.91677266,-0.0021856804,0.0,0.0,nan,6533.0,0.0,4505.8,0.0,nan,nan,0.0,5.362869,0.0,0.0,1.4810785,2.060682,0.037456986,5.3169928,0.28295386,-0.0011968253,0.0,0.4804142,5,0.0,1125,374,0.1699604,0.003831263,3.0,0.014153937,nan,5.284143,1.3211358,22529,0.0,-0.00044141756,0.057502735,2.3957531,0.0,nan,0.0,5.7472577,4.211295,0.054017667,0.0006283714,0.0003758954,-0.0020606818,2.1856804,0.49385118,3.0,nan,nan,0.0,4.173106,30000,0.28783774,0.0,0.35073507,nan,0.0,0.0,0.0,nan,0.0,nan,nan,0.0,nan,12.753062,-0.9167727,0.10504718,1.1968253,0.0,nan,0.0,nan,0.0,0.0,-0.03285042,5.35605,nan,3.3096375,5.7484045,0.0,8.897745,0.14044347,-0.23717383,0.0
-0.15593238,0.0,0.0,nan,2.1085835,nan,15.647114,0.0,nan,0.0,nan,nan,0.013490891,0.0,1487.0,nan,0.0,297.2466860105381,nan,nan,0.0,1.4110008,3491.0,nan,3.6850526,nan,0.0,0.056447316,0.00034743248,0.11887218,0.0,129.31499099731445,11.14675072539518,4,0.34743243,-0.0021085835,3.2021358,0.39067972,1470.8145,0.0,0.19828469,0.034909293,0.9355048,-0.0011652261,0.0,0.0,nan,6533.0,0.0,3695.3333,0.0,nan,nan,0.0,5.5402317,0.0,0.0,1.7744293,1.2401454,0.05190215,5.4931703,0.32327774,-0.00077302236,0.0,0.59255964,9,0.0,1500,499,0.20763205,0.0039389813,3.0,0.009970002,nan,5.444744,1.5429037,33258,0.0,-0.010863292,0.0576237,2.7087162,0.0,nan,0.0,5.951837,4.027741,0.052837174,0.00060095894,0.010863292,-0.0012401455,1.1652261,0.53272,3.0,nan,nan,0.0,4.1771727,40000,0.17046319,0.0,0.3927589,nan,0.0,0.0,0.0,nan,0.0,nan,nan,0.0,nan,8.236942,-0.9355048,0.12528874,0.7730223,0.0,nan,0.0,nan,0.0,0.0,-0.048426434,5.512206,nan,2.1663299,5.9596376,0.0,3.2066746,0.17595075,-0.10717447,0.0
-0.15004732,0.0,0.0,nan,2.187679,nan,15.03216,0.0,nan,0.0,nan,nan,-0.005474239,0.0,1487.0,nan,0.0,304.4310921899763,nan,nan,0.0,0.95191336,3491.0,nan,7.16322,nan,0.0,0.058081854,0.0001373701,0.12451997,0.0,162.16314697265625,11.416165957124113,2,0.13737008,-0.002187679,3.0422668,0.39516148,1383.9921,0.0,0.18788655,0.04100395,0.8883613,-0.0019787925,0.0,0.0,nan,6533.0,0.0,3570.4546,0.0,nan,nan,0.0,5.49143,0.0,0.0,1.6420889,1.9596517,0.04516553,5.4678454,0.25796786,-0.0016013884,0.0,0.5835498,11,0.0,1875,624,0.19691083,0.005812429,3.0,0.01313397,nan,5.428419,1.6531084,39275,0.0,0.010245981,0.059770737,2.528408,0.0,nan,0.0,5.923231,4.460498,0.060758334,0.00058076344,-0.006514179,-0.0019596517,1.9787924,0.6992595,3.0,nan,nan,0.0,4.3044834,50000,0.14945428,0.0,0.3379434,nan,0.0,0.0,0.0,nan,0.0,nan,nan,0.0,nan,8.914558,-0.87358934,0.14015794,1.6013883,0.0,nan,0.0,nan,0.0,0.0,-0.039425775,5.4894385,nan,4.9599943,5.9106493,0.0,7.234212,0.18336381,-0.14277051,0.0
-0.49925599,0.0,0.0,nan,2.200422,nan,16.485773,0.0,nan,0.0,nan,nan,0.007433952,0.0,1487.0,nan,0.0,308.3664911114618,nan,nan,0.0,1.2555395,3491.0,nan,7.0138907,nan,0.0,0.05640129,0.00019042387,0.12684703,0.0,194.59209203720093,11.563743416679818,4,0.19042386,-0.002200422,2.743167,0.37906775,1451.5593,0.0,0.16221009,0.03858926,0.8988558,-0.0019810104,0.0,0.0,nan,6624.0,0.0,3684.6,0.0,nan,nan,0.0,5.4455833,0.0,0.0,2.601291,1.930305,0.025668366,5.442134,0.43585342,-0.0014606493,0.0,0.5191615,15,0.0,2250,749,0.16991149,0.0055426033,3.0,0.015466021,nan,5.4202886,1.5108718,55269,0.0,-0.0029309504,0.059285216,3.2608423,0.0,nan,0.0,6.326732,3.7187324,0.08813003,0.0007496845,0.0027736116,-0.0019303052,1.9810104,0.5901917,3.0,nan,nan,0.0,3.8247578,60000,0.48793182,0.0,0.46318442,nan,0.0,0.0,0.0,nan,0.0,nan,nan,0.0,nan,9.028976,-0.8988557,0.1192971,1.4606493,0.0,nan,0.0,nan,0.0,0.0,-0.021844808,5.4429727,nan,4.3100038,6.3520484,0.0,7.250192,0.14303516,-0.16720197,0.0
-0.42655182,0.0,0.0,nan,1.7245522,nan,27.200935,0.0,nan,0.0,nan,nan,-0.0010123817,0.0,940.0,nan,0.0,307.8793459995043,nan,nan,0.0,1.167584,2574.5,nan,3.4525268,nan,0.0,0.07047163,0.00035951342,0.13295268,0.0,227.07234811782837,11.545475474981412,7,0.35951337,-0.0017245522,5.1022043,0.7119341,1584.8842,0.0,0.29844573,0.03598087,1.5135891,-0.0012103817,0.0,0.0,nan,6624.0,0.0,2999.6365,0.0,nan,nan,0.0,6.1626987,0.0,0.0,3.393012,1.1749494,0.09517219,6.0920787,0.561741,-0.00049860566,0.0,1.0250151,22,0.0,2625,874,0.33599812,0.018379373,3.0,0.018583165,nan,6.0174246,3.7027037,65992,0.0,0.011686611,0.07340637,4.9053826,0.0,nan,0.0,7.0772924,4.507409,0.10052394,0.00094204815,-0.012888175,-0.0011749496,1.2103816,1.3999333,3.0,nan,nan,0.0,3.5850086,70000,0.4212226,0.0,0.7105621,nan,0.0,0.0,0.0,nan,0.0,nan,nan,0.0,nan,5.61028,-1.2004515,0.37408662,0.49860564,0.0,nan,0.0,nan,0.0,0.0,-0.074655294,6.194127,nan,1.6465343,7.1072617,0.0,3.3670747,0.46808383,-0.21398862,0.0
-0.6496311,0.0,0.0,nan,2.1005025,nan,26.122442,0.0,nan,0.0,nan,nan,0.013295482,0.0,771.0,nan,0.0,308.8806205119498,nan,nan,0.0,1.7826184,2323.5,nan,5.634293,nan,0.0,0.066414244,0.0004351471,0.16330454,0.0,259.44731545448303,11.583023269198119,6,0.43514708,-0.0021005026,5.1688976,0.7922992,1562.6729,0.0,0.262378,0.03315956,1.3583072,-0.0018027845,0.0,0.0,nan,6624.0,0.0,2664.5356,0.0,nan,nan,0.0,6.326972,0.0,0.0,3.8163538,1.6507528,0.08182011,6.243802,0.59062636,-0.0005080484,0.0,1.0653094,28,0.0,3000,999,0.3034109,0.014568441,3.0,0.020979723,nan,6.1789966,3.234125,74607,0.0,-0.005657942,0.0708779,5.172627,0.0,nan,0.0,7.1665025,4.019515,0.10193868,0.0006818316,0.005721082,-0.0016507528,1.8027844,1.2695742,3.0,nan,nan,0.0,3.3840764,80000,0.6458537,0.0,0.70998806,nan,0.0,0.0,0.0,nan,0.0,nan,nan,0.0,nan,8.173021,-1.1407826,0.33071518,0.50804836,0.0,nan,0.0,nan,0.0,0.0,-0.06480538,6.3140273,nan,1.6632057,7.0467234,0.0,6.0774665,0.41088453,-0.15655555,0.0
-0.17477092,0.0,0.0,nan,0.491855,nan,19.868286,0.0,nan,0.0,nan,nan,0.009108745,0.0,771.0,nan,0.0,308.8136000664115,nan,nan,0.0,0.08216517,2258.0,nan,1.3504162,nan,0.0,0.053309046,6.030759e-05,0.12625153,0.0,291.8293089866638,11.58051000249043,3,0.060307585,-0.000491855,2.6682255,0.32005018,1505.8806,0.0,0.14740057,0.030530807,1.0441647,-0.0002908271,0.0,0.0,nan,6624.0,0.0,2589.484,0.0,nan,nan,0.0,5.342014,0.0,0.0,2.0177302,0.29853812,0.032763027,5.2873073,0.56966674,-0.00021020464,0.0,0.46807545,31,0.0,3375,1124,0.15772228,0.004278201,3.0,0.013562274,nan,5.258702,1.2619572,80274,0.0,-0.0032606188,0.055535503,3.061289,0.0,nan,0.0,6.480259,4.2221437,0.021632677,0.0005032708,0.0028797835,-0.00029853813,0.2908271,0.51812685,3.0,nan,nan,0.0,4.0849175,90000,0.18075398,0.0,0.5782581,nan,0.0,0.0,0.0,nan,0.0,nan,nan,0.0,nan,1.6353762,-1.0274808,0.08869268,0.21020463,0.0,nan,0.0,nan,0.0,0.0,-0.028605461,5.3377013,nan,1.2339337,6.482888,0.0,1.3375432,0.12115716,-0.114746906,0.0
-0.20228395,0.0,0.0,nan,1.9647334,nan,16.603588,0.0,nan,0.0,nan,nan,-0.0020562704,0.0,771.0,nan,0.0,311.5158467112661,nan,nan,0.0,1.9926647,2323.5,nan,4.1361146,nan,0.0,0.055770945,0.00056569534,0.11728771,0.0,323.93040466308594,11.681844251672478,3,0.56569535,-0.0019647335,3.3659365,0.34750745,1518.1299,0.0,0.185205,0.03489108,0.82378036,-0.001465487,0.0,0.0,nan,6624.0,0.0,2728.7354,0.0,nan,nan,0.0,5.328519,0.0,0.0,1.4868248,1.2760206,0.029979205,5.234484,0.5482892,-0.00038136356,0.0,0.53086007,34,0.0,3750,1249,0.19263382,0.0059419572,3.0,0.012794934,nan,5.2076173,1.7928499,92777,0.0,0.006178265,0.057095468,2.298782,0.0,nan,0.0,6.406256,3.8115132,0.028555056,0.0005399992,-0.0064775497,-0.0012760208,1.4654869,0.6953935,3.0,nan,nan,0.0,3.9275405,100000,0.20168018,0.0,0.58382744,nan,0.0,0.0,0.0,nan,0.0,nan,nan,0.0,nan,7.1330833,-0.82378036,0.11388848,0.38136354,0.0,nan,0.0,nan,0.0,0.0,-0.02686716,5.32747,nan,1.4642978,6.406511,0.0,4.329941,0.14259166,-0.16275695,0.0
